alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_6,1_1_4,0,Windward,0.635873,0.174837,0.171121,1.484533,0.514995,0.628156,0.743660,0.228665,1.313412,0.274957,0.458680,0.743635
Alpha1_6,1_1_4,0,SideRight,-0.946184,0.255595,-2.334205,-0.336206,-1.103262,-0.916263,-0.762327,0.340934,1.997999,0.270132,-0.639318,0.613429
Alpha1_6,1_1_4,0,Leeward,-0.625760,0.125818,-1.335310,-0.263944,-0.699619,-0.610162,-0.540137,0.159482,1.071366,0.201064,-0.716105,1.146080
Alpha1_6,1_1_4,0,SideLeft,-0.946814,0.253544,-2.184367,-0.328670,-1.101093,-0.919836,-0.760998,0.340095,1.855697,0.267786,-0.626534,0.451898
Alpha1_6,1_1_4,5,Windward,0.639948,0.179837,0.130274,1.460811,0.515061,0.624379,0.747383,0.232322,1.330537,0.281018,0.557446,0.531154
Alpha1_6,1_1_4,5,SideRight,-0.993613,0.248573,-2.461922,-0.319317,-1.137309,-0.968679,-0.816117,0.321191,2.142606,0.250171,-0.725361,1.065701
Alpha1_6,1_1_4,5,Leeward,-0.631387,0.131407,-1.241436,-0.288200,-0.706037,-0.616250,-0.536886,0.169151,0.953236,0.208124,-0.778825,0.920474
Alpha1_6,1_1_4,5,SideLeft,-0.886590,0.245968,-2.273481,-0.292820,-1.023121,-0.855087,-0.710267,0.312854,1.980661,0.277432,-0.978844,1.845620
Alpha1_6,1_1_4,10,Windward,0.654118,0.175601,0.130764,1.241997,0.529163,0.644772,0.773678,0.244514,1.111233,0.268454,0.256751,-0.183386
Alpha1_6,1_1_4,10,SideRight,-0.945162,0.244557,-2.083686,-0.121021,-1.100101,-0.927391,-0.772432,0.327668,1.962665,0.258746,-0.379574,0.196528
Alpha1_6,1_1_4,10,Leeward,-0.626905,0.128198,-1.513679,-0.309440,-0.703404,-0.610380,-0.536850,0.166554,1.204239,0.204493,-0.807971,1.612365
