Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.395343,0.141503,0.378930,0.297177,0.480523,-0.040101,0.926786,0.183346,0.966887,0.357925,0.460332,0.145520
Leeward,-0.675137,0.101910,-0.663458,-0.734547,-0.604015,-1.282920,-0.411666,0.130533,0.871254,0.150948,-0.675885,0.865970
SideRight,0.184929,0.128792,0.175575,0.094883,0.265304,-0.234695,0.813268,0.170421,1.047963,0.696441,0.456066,0.578267
SideLeft,-0.703910,0.109863,-0.690545,-0.761761,-0.629848,-1.332494,-0.422088,0.131913,0.910406,0.156075,-0.887594,1.614758
