alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,2_1_5,0,Windward,0.569166,0.169013,0.120886,1.179368,0.446834,0.554382,0.675929,0.229096,1.058482,0.296948,0.388427,-0.159996
Alpha1_4,2_1_5,0,SideRight,-0.838429,0.239979,-1.879867,-0.321297,-0.962276,-0.799299,-0.665406,0.296870,1.558569,0.286224,-0.969077,1.064557
Alpha1_4,2_1_5,0,Leeward,-0.657304,0.118193,-1.253823,-0.339068,-0.725213,-0.643089,-0.573711,0.151502,0.914755,0.179814,-0.799603,1.164872
Alpha1_4,2_1_5,0,SideLeft,-0.853217,0.241654,-2.117218,-0.348374,-0.976496,-0.815831,-0.683303,0.293193,1.768844,0.283227,-1.034125,1.594808
Alpha1_4,2_1_5,5,Windward,0.557790,0.159704,0.099248,1.130885,0.445378,0.548016,0.664408,0.219030,1.031636,0.286315,0.290602,-0.048157
Alpha1_4,2_1_5,5,SideRight,-0.865103,0.225901,-1.753775,-0.341127,-0.994506,-0.836772,-0.701149,0.293357,1.412649,0.261126,-0.676394,0.306175
Alpha1_4,2_1_5,5,Leeward,-0.648391,0.105949,-1.089317,-0.326027,-0.712522,-0.637334,-0.573589,0.138932,0.763290,0.163403,-0.492540,0.256194
Alpha1_4,2_1_5,5,SideLeft,-0.804728,0.216976,-1.808635,-0.317490,-0.920463,-0.767045,-0.650912,0.269551,1.491144,0.269626,-0.953118,1.102651
Alpha1_4,2_1_5,10,Windward,0.577208,0.170988,0.151942,1.192470,0.451150,0.565998,0.685750,0.234600,1.040528,0.296233,0.398306,-0.164380
Alpha1_4,2_1_5,10,SideRight,-0.908005,0.249324,-2.284086,-0.266151,-1.047142,-0.877616,-0.729792,0.317349,2.017936,0.274584,-0.828056,1.273677
Alpha1_4,2_1_5,10,Leeward,-0.644089,0.118753,-1.450456,-0.357950,-0.710542,-0.631709,-0.562264,0.148278,1.092506,0.184373,-0.947051,2.372660
Alpha1_4,2_1_5,10,SideLeft,-0.771214,0.213731,-1.994273,-0.294938,-0.889051,-0.737647,-0.616276,0.272776,1.699334,0.277136,-1.004909,1.617313
Alpha1_4,2_1_5,15,Windward,0.559632,0.174727,0.069707,1.304817,0.435427,0.544448,0.665325,0.229899,1.235110,0.312218,0.526619,0.403580
Alpha1_4,2_1_5,15,SideRight,-0.902099,0.229148,-1.925647,-0.175950,-1.048113,-0.887250,-0.744039,0.304073,1.749697,0.254016,-0.335670,0.180511
Alpha1_4,2_1_5,15,Leeward,-0.606648,0.108559,-1.087816,-0.327269,-0.674313,-0.592117,-0.525767,0.148546,0.760547,0.178949,-0.686711,0.447165
Alpha1_4,2_1_5,15,SideLeft,-0.707348,0.173845,-1.614431,-0.322619,-0.798522,-0.676301,-0.585293,0.213228,1.291812,0.245771,-1.068941,1.602639
Alpha1_4,2_1_5,20,Windward,0.568800,0.168354,0.109427,1.108869,0.446651,0.558901,0.684581,0.237930,0.999442,0.295981,0.204582,-0.332605
Alpha1_4,2_1_5,20,SideRight,-0.819639,0.250689,-1.936606,-0.115159,-0.977512,-0.804933,-0.645186,0.332326,1.821447,0.305854,-0.319697,0.082176
Alpha1_4,2_1_5,20,Leeward,-0.584218,0.107784,-1.266022,-0.315215,-0.641143,-0.570376,-0.508238,0.132905,0.950807,0.184492,-1.119339,2.976799
Alpha1_4,2_1_5,20,SideLeft,-0.663428,0.148003,-2.039123,-0.345048,-0.735047,-0.641524,-0.564825,0.170223,1.694075,0.223088,-1.918218,9.570083
Alpha1_4,2_1_5,25,Windward,0.542110,0.159957,0.092507,1.210436,0.427084,0.537613,0.647231,0.220147,1.117929,0.295064,0.281300,0.132946
Alpha1_4,2_1_5,25,SideRight,-0.661330,0.248459,-1.713282,0.013895,-0.822755,-0.646751,-0.485107,0.337647,1.727177,0.375695,-0.330467,0.095240
Alpha1_4,2_1_5,25,Leeward,-0.580853,0.087004,-1.082929,-0.368349,-0.630301,-0.571909,-0.519934,0.110366,0.714580,0.149787,-0.887871,1.894725
Alpha1_4,2_1_5,25,SideLeft,-0.640440,0.104646,-1.126279,-0.317927,-0.701505,-0.632266,-0.565829,0.135676,0.808352,0.163397,-0.688424,0.933620
Alpha1_4,2_1_5,30,Windward,0.494550,0.151784,0.068630,1.081214,0.389513,0.489102,0.591185,0.201673,1.012584,0.306913,0.287880,0.108914
Alpha1_4,2_1_5,30,SideRight,-0.381165,0.229052,-1.515663,0.285456,-0.526761,-0.356077,-0.218822,0.307939,1.801119,0.600925,-0.501873,0.354043
Alpha1_4,2_1_5,30,Leeward,-0.564116,0.077807,-0.924263,-0.294757,-0.612842,-0.564317,-0.511693,0.101149,0.629506,0.137928,-0.153229,0.458973
Alpha1_4,2_1_5,30,SideLeft,-0.616353,0.099538,-1.105807,-0.319214,-0.670246,-0.605472,-0.549557,0.120690,0.786594,0.161495,-0.690382,1.076513
Alpha1_4,2_1_5,35,Windward,0.422099,0.142232,0.050842,0.968295,0.317923,0.413215,0.518608,0.200686,0.917453,0.336963,0.261735,-0.238468
Alpha1_4,2_1_5,35,SideRight,-0.149880,0.183031,-0.963050,0.503132,-0.272043,-0.144760,-0.021592,0.250451,1.466182,1.221189,-0.236852,0.292659
Alpha1_4,2_1_5,35,Leeward,-0.562514,0.079237,-0.891626,-0.332752,-0.611461,-0.557269,-0.507199,0.104262,0.558874,0.140862,-0.396061,0.189728
Alpha1_4,2_1_5,35,SideLeft,-0.603508,0.100520,-1.272235,-0.365879,-0.655447,-0.591283,-0.536261,0.119186,0.906356,0.166559,-1.045037,2.518069
Alpha1_4,2_1_5,40,Windward,0.383691,0.147055,-0.005174,1.012846,0.277802,0.370299,0.473683,0.195882,1.018020,0.383265,0.524390,0.263019
Alpha1_4,2_1_5,40,SideRight,0.011679,0.147725,-0.518418,0.508555,-0.087466,0.016038,0.114059,0.201525,1.026973,12.649188,-0.085843,-0.033730
Alpha1_4,2_1_5,40,Leeward,-0.553080,0.085708,-0.950872,-0.316134,-0.603051,-0.548481,-0.493832,0.109219,0.634738,0.154966,-0.589534,0.898038
Alpha1_4,2_1_5,40,SideLeft,-0.576884,0.095929,-1.120272,-0.306144,-0.632972,-0.571144,-0.509649,0.123323,0.814128,0.166288,-0.649354,1.184491
Alpha1_4,2_1_5,45,Windward,0.329537,0.127840,-0.025975,0.789086,0.236449,0.323261,0.414394,0.177945,0.815061,0.387937,0.248549,-0.248833
Alpha1_4,2_1_5,45,SideRight,0.157054,0.147980,-0.699520,0.699850,0.065258,0.158294,0.252760,0.187502,1.399370,0.942224,-0.181077,0.829364
Alpha1_4,2_1_5,45,Leeward,-0.565266,0.078731,-0.856305,-0.362448,-0.616098,-0.560948,-0.508711,0.107387,0.493857,0.139281,-0.411386,0.103913
Alpha1_4,2_1_5,45,SideLeft,-0.563248,0.088899,-0.900157,-0.326165,-0.618356,-0.554548,-0.498220,0.120136,0.573992,0.157833,-0.487743,0.077853
Alpha1_4,2_1_5,50,Windward,0.258342,0.123190,-0.144487,0.714753,0.172337,0.252658,0.335506,0.163169,0.859241,0.476847,0.297767,0.114225
Alpha1_4,2_1_5,50,SideRight,0.287100,0.135451,-0.192031,0.748398,0.193659,0.280521,0.378707,0.185048,0.940428,0.471790,0.152355,-0.068242
Alpha1_4,2_1_5,50,Leeward,-0.573861,0.087387,-0.986773,-0.335313,-0.628272,-0.569759,-0.510729,0.117543,0.651460,0.152279,-0.442888,0.380935
Alpha1_4,2_1_5,50,SideLeft,-0.555061,0.097364,-1.255112,-0.321803,-0.605788,-0.545275,-0.490067,0.115721,0.933309,0.175412,-1.202568,3.791339
Alpha1_4,2_1_5,55,Windward,0.164244,0.116437,-0.207307,0.635953,0.081062,0.155772,0.241452,0.160391,0.843259,0.708926,0.267689,0.003535
Alpha1_4,2_1_5,55,SideRight,0.346818,0.135731,-0.076800,0.963428,0.251686,0.338960,0.428199,0.176513,1.040228,0.391361,0.425347,0.268045
Alpha1_4,2_1_5,55,Leeward,-0.584454,0.100854,-1.100091,-0.308302,-0.642842,-0.570051,-0.513358,0.129484,0.791789,0.172561,-0.753817,0.841927
Alpha1_4,2_1_5,55,SideLeft,-0.535834,0.092172,-0.951767,-0.272955,-0.591133,-0.523106,-0.471477,0.119655,0.678811,0.172016,-0.618036,0.515965
Alpha1_4,2_1_5,60,Windward,0.074750,0.115107,-0.308308,0.492008,0.000479,0.075009,0.151942,0.151463,0.800316,1.539897,-0.043880,-0.018818
Alpha1_4,2_1_5,60,SideRight,0.423290,0.147322,0.008396,1.069063,0.318929,0.416285,0.518387,0.199458,1.060667,0.348042,0.320168,0.114616
Alpha1_4,2_1_5,60,Leeward,-0.612614,0.089402,-1.084785,-0.353504,-0.667185,-0.604204,-0.550029,0.117155,0.731281,0.145935,-0.596095,0.931939
Alpha1_4,2_1_5,60,SideLeft,-0.540965,0.091373,-1.266390,-0.288905,-0.592736,-0.530333,-0.477849,0.114886,0.977485,0.168907,-0.886445,2.601704
Alpha1_4,2_1_5,65,Windward,-0.032077,0.108690,-0.389278,0.527459,-0.099656,-0.032448,0.036265,0.135920,0.916737,3.388451,0.048136,0.451612
Alpha1_4,2_1_5,65,SideRight,0.483973,0.163019,0.023685,1.170368,0.365999,0.468023,0.587115,0.221116,1.146683,0.336835,0.498247,0.234154
Alpha1_4,2_1_5,65,Leeward,-0.612717,0.097464,-1.039185,-0.320046,-0.672929,-0.605247,-0.544344,0.128585,0.719139,0.159069,-0.470043,0.442049
Alpha1_4,2_1_5,65,SideLeft,-0.499175,0.081174,-0.841429,-0.245476,-0.549102,-0.493788,-0.442940,0.106162,0.595953,0.162616,-0.403055,0.264702
Alpha1_4,2_1_5,70,Windward,-0.146108,0.112054,-0.813716,0.228423,-0.218993,-0.142288,-0.068591,0.150402,1.042138,0.766926,-0.350759,0.857099
Alpha1_4,2_1_5,70,SideRight,0.522245,0.167225,0.109186,1.343471,0.405287,0.503420,0.626201,0.220915,1.234285,0.320204,0.611767,0.594537
Alpha1_4,2_1_5,70,Leeward,-0.614275,0.099439,-1.117365,-0.341730,-0.671351,-0.605104,-0.547516,0.123835,0.775635,0.161880,-0.565340,0.802207
Alpha1_4,2_1_5,70,SideLeft,-0.464081,0.076483,-0.805918,-0.180136,-0.513762,-0.460876,-0.410034,0.103728,0.625782,0.164804,-0.336470,0.337587
Alpha1_4,2_1_5,75,Windward,-0.272490,0.115352,-0.724059,0.110707,-0.345917,-0.266560,-0.192984,0.152933,0.834766,0.423327,-0.304875,0.157072
Alpha1_4,2_1_5,75,SideRight,0.563479,0.150711,0.117080,1.120419,0.457780,0.558506,0.664139,0.206359,1.003339,0.267465,0.194757,-0.113719
Alpha1_4,2_1_5,75,Leeward,-0.636620,0.114138,-1.132712,-0.286612,-0.702657,-0.627412,-0.559460,0.143197,0.846100,0.179287,-0.574216,0.818399
Alpha1_4,2_1_5,75,SideLeft,-0.430126,0.081550,-0.746805,-0.157745,-0.481068,-0.423610,-0.373276,0.107792,0.589060,0.189596,-0.423417,0.252878
Alpha1_4,2_1_5,80,Windward,-0.418438,0.134945,-0.969021,-0.027803,-0.505946,-0.406997,-0.324831,0.181115,0.941219,0.322496,-0.368061,0.005757
Alpha1_4,2_1_5,80,SideRight,0.567140,0.170623,0.113299,1.217963,0.442014,0.553943,0.683881,0.241867,1.104665,0.300849,0.338423,-0.205182
Alpha1_4,2_1_5,80,Leeward,-0.678400,0.128378,-1.192588,-0.288078,-0.759750,-0.671122,-0.589366,0.170384,0.904510,0.189237,-0.285556,0.066760
Alpha1_4,2_1_5,80,SideLeft,-0.406777,0.091504,-0.775246,-0.158745,-0.464776,-0.398451,-0.342039,0.122737,0.616501,0.224950,-0.446773,0.077525
Alpha1_4,2_1_5,85,Windward,-0.544109,0.148483,-1.285501,-0.099471,-0.635552,-0.529927,-0.442036,0.193517,1.186030,0.272892,-0.534853,0.617768
Alpha1_4,2_1_5,85,SideRight,0.591667,0.181353,0.118166,1.304440,0.458511,0.575868,0.712196,0.253685,1.186274,0.306512,0.394731,-0.038697
Alpha1_4,2_1_5,85,Leeward,-0.687761,0.137348,-1.340855,-0.309589,-0.775447,-0.679014,-0.592925,0.182522,1.031266,0.199703,-0.385789,0.419287
Alpha1_4,2_1_5,85,SideLeft,-0.360389,0.087140,-0.855565,-0.122240,-0.408440,-0.349502,-0.300035,0.108405,0.733325,0.241794,-0.877737,1.551588
Alpha1_4,2_1_5,90,Windward,-0.643743,0.145267,-1.245714,-0.187285,-0.733896,-0.635239,-0.541894,0.192002,1.058429,0.225660,-0.340084,0.122615
Alpha1_4,2_1_5,90,SideRight,0.578688,0.165368,0.142443,1.205730,0.463240,0.565024,0.683121,0.219881,1.063287,0.285763,0.392350,-0.030480
Alpha1_4,2_1_5,90,Leeward,-0.664965,0.146815,-1.231846,-0.222471,-0.762993,-0.653457,-0.557344,0.205648,1.009375,0.220785,-0.336531,-0.115327
