Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.383691,0.147055,0.370299,0.277802,0.473683,-0.005174,1.012846,0.195882,1.018020,0.383265,0.524390,0.263019
Leeward,-0.553080,0.085708,-0.548481,-0.603051,-0.493832,-0.950872,-0.316134,0.109219,0.634738,0.154966,-0.589534,0.898038
SideRight,0.011679,0.147725,0.016038,-0.087466,0.114059,-0.518418,0.508555,0.201525,1.026973,12.649188,-0.085843,-0.033730
SideLeft,-0.576884,0.095929,-0.571144,-0.632972,-0.509649,-1.120272,-0.306144,0.123323,0.814128,0.166288,-0.649354,1.184491
