Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.569166,0.169013,0.554382,0.446834,0.675929,0.120886,1.179368,0.229096,1.058482,0.296948,0.388427,-0.159996
Leeward,-0.657304,0.118193,-0.643089,-0.725213,-0.573711,-1.253823,-0.339068,0.151502,0.914755,0.179814,-0.799603,1.164872
SideRight,-0.838429,0.239979,-0.799299,-0.962276,-0.665406,-1.879867,-0.321297,0.296870,1.558569,0.286224,-0.969077,1.064557
SideLeft,-0.853217,0.241654,-0.815831,-0.976496,-0.683303,-2.117218,-0.348374,0.293193,1.768844,0.283227,-1.034125,1.594808
