alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_6,1_1_3,0,Windward,0.629372,0.197460,0.169302,1.362895,0.481755,0.606404,0.755044,0.273289,1.193593,0.313741,0.519315,-0.103081
Alpha1_6,1_1_3,0,SideRight,-0.937343,0.262253,-2.187335,-0.290344,-1.096265,-0.907435,-0.745359,0.350906,1.896990,0.279783,-0.671393,0.559367
Alpha1_6,1_1_3,0,Leeward,-0.595389,0.132551,-1.160808,-0.226196,-0.673145,-0.576085,-0.499930,0.173215,0.934612,0.222630,-0.694381,0.403087
Alpha1_6,1_1_3,0,SideLeft,-0.952741,0.264919,-2.188579,-0.349559,-1.102573,-0.920869,-0.761087,0.341486,1.839020,0.278060,-0.780307,0.773359
Alpha1_6,1_1_3,5,Windward,0.647875,0.190260,0.081004,1.423135,0.513848,0.636052,0.764343,0.250495,1.342132,0.293668,0.400588,0.171367
Alpha1_6,1_1_3,5,SideRight,-0.968756,0.243307,-2.260547,-0.311141,-1.116167,-0.945958,-0.793260,0.322907,1.949406,0.251154,-0.584830,0.505035
Alpha1_6,1_1_3,5,Leeward,-0.598900,0.121725,-1.170044,-0.289920,-0.674964,-0.585806,-0.510828,0.164136,0.880124,0.203247,-0.585924,0.451131
Alpha1_6,1_1_3,5,SideLeft,-0.901139,0.249174,-2.029735,-0.301679,-1.054799,-0.870362,-0.715293,0.339506,1.728056,0.276510,-0.657112,0.394008
Alpha1_6,1_1_3,10,Windward,0.687943,0.191918,0.172536,1.450290,0.547348,0.677169,0.815761,0.268412,1.277754,0.278973,0.305624,-0.170223
Alpha1_6,1_1_3,10,SideRight,-0.959010,0.238615,-1.891118,-0.355302,-1.113967,-0.944314,-0.786755,0.327212,1.535816,0.248814,-0.324318,-0.196709
Alpha1_6,1_1_3,10,Leeward,-0.620088,0.120122,-1.411715,-0.261876,-0.692670,-0.609603,-0.534266,0.158404,1.149839,0.193718,-0.754762,1.835620
Alpha1_6,1_1_3,10,SideLeft,-0.846275,0.202310,-1.901558,-0.362276,-0.948302,-0.812666,-0.700924,0.247378,1.539282,0.239059,-1.079321,1.646351
Alpha1_6,1_1_3,15,Windward,0.641904,0.187472,0.125157,1.457468,0.508108,0.623258,0.750487,0.242379,1.332311,0.292056,0.634726,0.552478
Alpha1_6,1_1_3,15,SideRight,-0.751225,0.244617,-1.907334,-0.144121,-0.903173,-0.727593,-0.580822,0.322351,1.763213,0.325624,-0.583731,0.577499
Alpha1_6,1_1_3,15,Leeward,-0.581708,0.106892,-1.013041,-0.304696,-0.646886,-0.569751,-0.506728,0.140158,0.708345,0.183755,-0.578217,0.322771
Alpha1_6,1_1_3,15,SideLeft,-0.747668,0.156373,-1.495670,-0.333757,-0.833384,-0.723328,-0.638355,0.195028,1.161913,0.209148,-0.864985,0.970928
Alpha1_6,1_1_3,20,Windward,0.617572,0.190043,0.072161,1.321257,0.475770,0.598104,0.734857,0.259087,1.249097,0.307727,0.544159,0.096346
Alpha1_6,1_1_3,20,SideRight,-0.517907,0.247179,-1.581436,0.191025,-0.660507,-0.489266,-0.344883,0.315624,1.772461,0.477265,-0.647406,0.656291
Alpha1_6,1_1_3,20,Leeward,-0.596787,0.103598,-1.131816,-0.288224,-0.659998,-0.588297,-0.522698,0.137300,0.843592,0.173594,-0.564310,0.615655
Alpha1_6,1_1_3,20,SideLeft,-0.725164,0.134175,-1.365966,-0.382394,-0.801001,-0.707419,-0.630901,0.170101,0.983572,0.185028,-0.844859,1.207990
Alpha1_6,1_1_3,25,Windward,0.577997,0.183904,0.137564,1.255986,0.439157,0.557689,0.702730,0.263573,1.118421,0.318175,0.438780,-0.249393
Alpha1_6,1_1_3,25,SideRight,-0.290373,0.194052,-1.228461,0.301033,-0.406490,-0.274113,-0.157193,0.249297,1.529494,0.668284,-0.555983,0.840758
Alpha1_6,1_1_3,25,Leeward,-0.601739,0.103824,-1.126949,-0.321170,-0.663316,-0.590302,-0.528470,0.134846,0.805779,0.172540,-0.648347,0.682935
Alpha1_6,1_1_3,25,SideLeft,-0.711984,0.133470,-1.644611,-0.371126,-0.787392,-0.694650,-0.618306,0.169086,1.273485,0.187463,-0.980403,2.336762
Alpha1_6,1_1_3,30,Windward,0.516607,0.168333,-0.024023,1.328894,0.398851,0.494679,0.610769,0.211918,1.352917,0.325843,0.722302,0.853218
Alpha1_6,1_1_3,30,SideRight,-0.100214,0.165207,-0.825610,0.422772,-0.209162,-0.096092,0.014083,0.223245,1.248382,1.648546,-0.244488,0.214517
Alpha1_6,1_1_3,30,Leeward,-0.608126,0.093667,-1.149111,-0.324895,-0.660320,-0.598530,-0.543676,0.116644,0.824216,0.154026,-0.860086,1.871770
Alpha1_6,1_1_3,30,SideLeft,-0.694244,0.116563,-1.539402,-0.339958,-0.759691,-0.678407,-0.612717,0.146974,1.199444,0.167899,-1.020103,2.455556
Alpha1_6,1_1_3,35,Windward,0.486562,0.173589,-0.008594,1.343001,0.366419,0.472000,0.590944,0.224525,1.351595,0.356767,0.519848,0.466028
Alpha1_6,1_1_3,35,SideRight,0.051952,0.151922,-0.511942,0.692972,-0.043540,0.053644,0.147612,0.191152,1.204914,2.924274,0.016380,0.453328
Alpha1_6,1_1_3,35,Leeward,-0.635054,0.096827,-1.155004,-0.371072,-0.688946,-0.624773,-0.570227,0.118719,0.783932,0.152470,-0.833958,1.616079
Alpha1_6,1_1_3,35,SideLeft,-0.694194,0.114634,-1.526043,-0.332593,-0.758125,-0.681611,-0.616424,0.141701,1.193450,0.165133,-0.940902,2.656030
Alpha1_6,1_1_3,40,Windward,0.393338,0.156038,-0.070891,1.046055,0.281117,0.379321,0.491685,0.210568,1.116946,0.396701,0.475136,0.185585
Alpha1_6,1_1_3,40,SideRight,0.187184,0.140189,-0.332299,0.732397,0.097649,0.179797,0.276164,0.178515,1.064697,0.748939,0.130950,0.264927
Alpha1_6,1_1_3,40,Leeward,-0.628983,0.107877,-1.371825,-0.360705,-0.691759,-0.616487,-0.551642,0.140117,1.011120,0.171510,-0.907936,2.170824
Alpha1_6,1_1_3,40,SideLeft,-0.661761,0.115840,-1.381453,-0.359218,-0.730960,-0.647083,-0.579740,0.151219,1.022235,0.175048,-0.806259,1.421819
Alpha1_6,1_1_3,45,Windward,0.313872,0.155992,-0.266356,0.943098,0.206760,0.296149,0.412049,0.205289,1.209455,0.496993,0.399881,0.296665
Alpha1_6,1_1_3,45,SideRight,0.284908,0.152433,-0.281242,0.928806,0.175800,0.278186,0.384475,0.208675,1.210049,0.535025,0.257835,-0.070179
Alpha1_6,1_1_3,45,Leeward,-0.666072,0.114033,-1.249133,-0.382551,-0.729423,-0.653537,-0.588402,0.141021,0.866582,0.171203,-0.797607,1.331785
Alpha1_6,1_1_3,45,SideLeft,-0.666950,0.109324,-1.417040,-0.355819,-0.737061,-0.658703,-0.587944,0.149117,1.061221,0.163916,-0.592597,1.074533
Alpha1_6,1_1_3,50,Windward,0.208516,0.153161,-0.351641,0.838229,0.104838,0.199458,0.306365,0.201527,1.189870,0.734529,0.249945,0.207305
Alpha1_6,1_1_3,50,SideRight,0.389179,0.166500,-0.091959,1.068335,0.270075,0.371760,0.490331,0.220256,1.160294,0.427823,0.499752,0.096146
Alpha1_6,1_1_3,50,Leeward,-0.675996,0.119081,-1.264930,-0.372753,-0.745905,-0.660979,-0.592750,0.153154,0.892176,0.176157,-0.739137,0.978855
Alpha1_6,1_1_3,50,SideLeft,-0.653532,0.114370,-1.145413,-0.339465,-0.720755,-0.640432,-0.575610,0.145145,0.805949,0.175003,-0.592008,0.469420
