Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.617572,0.190043,0.598104,0.475770,0.734857,0.072161,1.321257,0.259087,1.249097,0.307727,0.544159,0.096346
Leeward,-0.596787,0.103598,-0.588297,-0.659998,-0.522698,-1.131816,-0.288224,0.137300,0.843592,0.173594,-0.564310,0.615655
SideRight,-0.517907,0.247179,-0.489266,-0.660507,-0.344883,-1.581436,0.191025,0.315624,1.772461,0.477265,-0.647406,0.656291
SideLeft,-0.725164,0.134175,-0.707419,-0.801001,-0.630901,-1.365966,-0.382394,0.170101,0.983572,0.185028,-0.844859,1.207990
