Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.421304,0.163238,0.410150,0.302752,0.529386,-0.025964,1.060388,0.226634,1.086352,0.387458,0.343182,-0.131823
Leeward,-0.926589,0.121898,-0.920806,-1.007628,-0.840019,-1.403551,-0.549308,0.167609,0.854243,0.131555,-0.233942,-0.126958
SideRight,0.244854,0.186698,0.235286,0.121748,0.361371,-0.380296,1.121930,0.239623,1.502226,0.762486,0.314695,0.536834
SideLeft,-0.761162,0.117705,-0.753475,-0.838389,-0.677618,-1.294695,-0.382794,0.160771,0.911901,0.154639,-0.310009,-0.005407
