Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.262404,0.111178,-0.262623,-0.336736,-0.187783,-0.715976,0.127879,0.148954,0.843854,0.423689,-0.001289,0.113534
Leeward,-0.896904,0.164552,-0.883093,-1.006171,-0.777892,-1.583860,-0.448782,0.228279,1.135078,0.183467,-0.363885,-0.060055
SideRight,0.819228,0.235099,0.802802,0.649727,0.970765,0.194337,1.725372,0.321038,1.531036,0.286977,0.312328,-0.208777
SideLeft,-0.472459,0.100690,-0.464339,-0.534033,-0.400637,-0.965904,-0.193399,0.133396,0.772505,0.213119,-0.496573,0.280529
