Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.767712,0.219246,0.750427,0.605813,0.906127,0.208708,1.714162,0.300313,1.505453,0.285584,0.413142,-0.063699
Leeward,-0.719744,0.118637,-0.709384,-0.796401,-0.634073,-1.196635,-0.344727,0.162329,0.851909,0.164832,-0.460995,0.079952
SideRight,-0.963739,0.233366,-0.930940,-1.094565,-0.798003,-2.118824,-0.404953,0.296562,1.713870,0.242147,-0.834731,0.965426
SideLeft,-1.015404,0.255332,-0.983169,-1.161429,-0.835514,-2.379967,-0.311800,0.325915,2.068167,0.251459,-0.793274,1.191295
