alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_6,3_1_2,0,Windward,0.767712,0.219246,0.208708,1.714162,0.605813,0.750427,0.906127,0.300313,1.505453,0.285584,0.413142,-0.063699
Alpha1_6,3_1_2,0,SideRight,-0.963739,0.233366,-2.118824,-0.404953,-1.094565,-0.930940,-0.798003,0.296562,1.713870,0.242147,-0.834731,0.965426
Alpha1_6,3_1_2,0,Leeward,-0.719744,0.118637,-1.196635,-0.344727,-0.796401,-0.709384,-0.634073,0.162329,0.851909,0.164832,-0.460995,0.079952
Alpha1_6,3_1_2,0,SideLeft,-1.015404,0.255332,-2.379967,-0.311800,-1.161429,-0.983169,-0.835514,0.325915,2.068167,0.251459,-0.793274,1.191295
Alpha1_6,3_1_2,5,Windward,0.818507,0.240525,0.187299,1.727156,0.638943,0.799439,0.986813,0.347870,1.539857,0.293858,0.343906,-0.257573
Alpha1_6,3_1_2,5,SideRight,-1.084737,0.254273,-2.610418,-0.448275,-1.227140,-1.059903,-0.910835,0.316305,2.162143,0.234410,-0.886153,1.975397
Alpha1_6,3_1_2,5,Leeward,-0.778956,0.128756,-1.354588,-0.398559,-0.864481,-0.767218,-0.683486,0.180995,0.956029,0.165293,-0.457664,0.160924
Alpha1_6,3_1_2,5,SideLeft,-1.035743,0.274898,-2.315865,-0.332857,-1.192625,-0.997046,-0.837671,0.354954,1.983008,0.265411,-0.804032,0.827644
Alpha1_6,3_1_2,10,Windward,0.824152,0.230400,0.236962,1.840681,0.659562,0.803427,0.969947,0.310385,1.603719,0.279560,0.436373,0.100741
Alpha1_6,3_1_2,10,SideRight,-1.107352,0.267438,-3.137367,-0.410873,-1.255102,-1.081823,-0.919487,0.335615,2.726494,0.241511,-0.804058,1.822581
Alpha1_6,3_1_2,10,Leeward,-0.750385,0.125747,-1.434098,-0.396602,-0.825048,-0.740506,-0.662331,0.162716,1.037496,0.167577,-0.634790,1.073286
Alpha1_6,3_1_2,10,SideLeft,-0.945699,0.247048,-2.602237,-0.256973,-1.078390,-0.917609,-0.776051,0.302339,2.345264,0.261233,-0.908398,1.947746
Alpha1_6,3_1_2,15,Windward,0.809061,0.228626,0.179017,1.882229,0.645819,0.793224,0.957752,0.311933,1.703213,0.282582,0.431130,0.302010
Alpha1_6,3_1_2,15,SideRight,-1.229641,0.281588,-2.655349,-0.423462,-1.403181,-1.208584,-1.034138,0.369042,2.231887,0.229000,-0.472290,0.433349
Alpha1_6,3_1_2,15,Leeward,-0.809882,0.129750,-1.395473,-0.396078,-0.894783,-0.802278,-0.720193,0.174589,0.999394,0.160208,-0.296665,0.219890
Alpha1_6,3_1_2,15,SideLeft,-0.917790,0.247228,-2.191413,-0.285466,-1.048335,-0.880442,-0.744891,0.303443,1.905947,0.269373,-1.018594,1.669776
Alpha1_6,3_1_2,20,Windward,0.800289,0.228525,0.280643,2.015309,0.628970,0.774122,0.952632,0.323662,1.734666,0.285553,0.578563,0.321433
Alpha1_6,3_1_2,20,SideRight,-1.189764,0.315403,-2.680668,-0.296644,-1.397208,-1.168996,-0.965436,0.431772,2.384024,0.265097,-0.342655,0.145244
Alpha1_6,3_1_2,20,Leeward,-0.798407,0.133195,-1.319126,-0.409949,-0.884532,-0.789211,-0.701277,0.183255,0.909177,0.166826,-0.375722,0.017485
