Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.563478,0.181663,0.546643,0.433446,0.679638,0.097885,1.251987,0.246192,1.154102,0.322397,0.426518,0.017638
Leeward,-0.625451,0.126553,-0.607594,-0.697801,-0.534760,-1.243206,-0.279850,0.163041,0.963356,0.202338,-0.826317,1.036174
SideRight,-0.913642,0.258610,-0.886941,-1.062368,-0.734846,-2.155183,-0.201092,0.327523,1.954091,0.283054,-0.704726,0.984178
SideLeft,-0.775092,0.219335,-0.729570,-0.881997,-0.623531,-1.996866,-0.269948,0.258466,1.726918,0.282979,-1.187337,2.062939
