Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.548128,0.181692,0.538400,0.425562,0.665571,0.034210,1.260379,0.240009,1.226169,0.331477,0.269000,0.080745
Leeward,-0.584611,0.102269,-0.571136,-0.647504,-0.514021,-1.139662,-0.318074,0.133483,0.821589,0.174935,-0.757740,1.299614
SideRight,-0.810320,0.266326,-0.791874,-0.976430,-0.628711,-1.959595,0.020615,0.347719,1.980210,0.328668,-0.383293,0.476110
SideLeft,-0.682517,0.171251,-0.648081,-0.752390,-0.571074,-1.677132,-0.310664,0.181316,1.366468,0.250911,-1.627687,4.348667
