Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.142409,0.116235,-0.135309,-0.216755,-0.064005,-0.596263,0.263064,0.152750,0.859326,0.816205,-0.235970,0.259008
Leeward,-0.655468,0.131420,-0.640941,-0.738487,-0.560130,-1.262576,-0.323547,0.178357,0.939029,0.200498,-0.585105,0.395186
SideRight,0.508267,0.182411,0.501447,0.375433,0.627837,-0.016419,1.171418,0.252405,1.187837,0.358889,0.280109,-0.136609
SideLeft,-0.474898,0.090832,-0.467831,-0.530206,-0.412575,-0.960938,-0.193203,0.117631,0.767736,0.191266,-0.495501,0.655128
