alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,1_1_4,0,Windward,0.539566,0.167453,0.024470,1.093797,0.415922,0.525106,0.655620,0.239699,1.069327,0.310347,0.291641,-0.280878
Alpha1_4,1_1_4,0,SideRight,-0.828632,0.212983,-1.747026,-0.237191,-0.953884,-0.803175,-0.676035,0.277849,1.509835,0.257030,-0.628918,0.447993
Alpha1_4,1_1_4,0,Leeward,-0.528079,0.119429,-1.067658,-0.245277,-0.605493,-0.516969,-0.439182,0.166311,0.822381,0.226158,-0.555787,0.249553
Alpha1_4,1_1_4,0,SideLeft,-0.846696,0.227725,-1.803414,-0.217410,-0.982035,-0.825550,-0.685839,0.296197,1.586005,0.268958,-0.567535,0.365977
Alpha1_4,1_1_4,5,Windward,0.521889,0.171196,0.059977,1.247162,0.401498,0.511306,0.628232,0.226734,1.187185,0.328032,0.432198,0.240603
Alpha1_4,1_1_4,5,SideRight,-0.840202,0.220968,-1.809626,-0.029227,-0.974379,-0.817070,-0.681725,0.292653,1.780399,0.262994,-0.547169,0.382107
Alpha1_4,1_1_4,5,Leeward,-0.525792,0.119494,-1.065693,-0.237082,-0.599019,-0.513413,-0.438235,0.160784,0.828611,0.227265,-0.593507,0.301529
Alpha1_4,1_1_4,5,SideLeft,-0.801199,0.213797,-2.062151,-0.335644,-0.928580,-0.774332,-0.644130,0.284450,1.726508,0.266847,-0.766811,0.941113
Alpha1_4,1_1_4,10,Windward,0.557274,0.173361,0.101997,1.238378,0.431780,0.542277,0.661762,0.229982,1.136381,0.311088,0.476129,0.106764
Alpha1_4,1_1_4,10,SideRight,-0.798571,0.229624,-1.891749,-0.178376,-0.945755,-0.780203,-0.631373,0.314382,1.713373,0.287543,-0.518808,0.297214
Alpha1_4,1_1_4,10,Leeward,-0.521964,0.113806,-1.097104,-0.192738,-0.591851,-0.509227,-0.439321,0.152530,0.904366,0.218035,-0.681837,0.753992
Alpha1_4,1_1_4,10,SideLeft,-0.740007,0.181783,-1.653052,-0.284366,-0.845674,-0.714495,-0.611768,0.233906,1.368687,0.245650,-0.794474,0.976169
Alpha1_4,1_1_4,15,Windward,0.545901,0.179658,0.053255,1.346821,0.416622,0.532097,0.662028,0.245405,1.293566,0.329103,0.434434,0.151313
