Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.539566,0.167453,0.525106,0.415922,0.655620,0.024470,1.093797,0.239699,1.069327,0.310347,0.291641,-0.280878
Leeward,-0.528079,0.119429,-0.516969,-0.605493,-0.439182,-1.067658,-0.245277,0.166311,0.822381,0.226158,-0.555787,0.249553
SideRight,-0.828632,0.212983,-0.803175,-0.953884,-0.676035,-1.747026,-0.237191,0.277849,1.509835,0.257030,-0.628918,0.447993
SideLeft,-0.846696,0.227725,-0.825550,-0.982035,-0.685839,-1.803414,-0.217410,0.296197,1.586005,0.268958,-0.567535,0.365977
