alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,2_1_3,0,Windward,0.543501,0.199645,-0.001725,1.390449,0.403063,0.526517,0.668783,0.265720,1.392175,0.367331,0.423685,0.021871
Alpha1_4,2_1_3,0,SideRight,-0.857724,0.248137,-2.377140,-0.333743,-0.995929,-0.818011,-0.685118,0.310811,2.043397,0.289297,-0.983617,1.818298
Alpha1_4,2_1_3,0,Leeward,-0.616328,0.117505,-1.211095,-0.268328,-0.681115,-0.603924,-0.533331,0.147784,0.942767,0.190654,-0.778910,1.063056
Alpha1_4,2_1_3,0,SideLeft,-0.885944,0.263842,-2.182038,-0.251911,-1.033292,-0.846893,-0.694404,0.338889,1.930127,0.297809,-0.877603,1.002256
Alpha1_4,2_1_3,5,Windward,0.527814,0.208349,0.000125,1.402680,0.379605,0.510521,0.657991,0.278386,1.402555,0.394740,0.492294,0.181513
Alpha1_4,2_1_3,5,SideRight,-0.866355,0.245185,-2.008127,-0.289324,-1.009166,-0.841910,-0.687379,0.321786,1.718802,0.283008,-0.751186,0.850873
Alpha1_4,2_1_3,5,Leeward,-0.597970,0.113005,-1.110022,-0.296564,-0.663851,-0.585243,-0.519154,0.144697,0.813458,0.188981,-0.662323,0.706417
Alpha1_4,2_1_3,5,SideLeft,-0.830426,0.249964,-2.088211,-0.261684,-0.968010,-0.792195,-0.653275,0.314735,1.826527,0.301007,-0.953741,1.476601
Alpha1_4,2_1_3,10,Windward,0.510061,0.192265,0.017920,1.240114,0.365230,0.488441,0.633843,0.268613,1.222194,0.376944,0.505604,-0.096940
Alpha1_4,2_1_3,10,SideRight,-0.859103,0.237962,-1.998980,-0.123869,-1.007945,-0.839384,-0.687999,0.319946,1.875111,0.276988,-0.456387,0.239723
Alpha1_4,2_1_3,10,Leeward,-0.568634,0.108469,-1.049698,-0.297463,-0.634812,-0.555559,-0.488083,0.146729,0.752235,0.190753,-0.664749,0.481984
Alpha1_4,2_1_3,10,SideLeft,-0.750068,0.211161,-1.924222,-0.271447,-0.865839,-0.717047,-0.596955,0.268884,1.652774,0.281523,-0.979492,1.557676
Alpha1_4,2_1_3,15,Windward,0.521624,0.199261,-0.088615,1.352008,0.377172,0.499564,0.646940,0.269768,1.440623,0.382001,0.538387,0.209827
Alpha1_4,2_1_3,15,SideRight,-0.857003,0.258505,-2.007784,-0.119344,-1.015602,-0.839833,-0.676232,0.339370,1.888440,0.301639,-0.441344,0.322495
Alpha1_4,2_1_3,15,Leeward,-0.576242,0.106468,-1.040114,-0.308728,-0.636945,-0.561958,-0.501227,0.135718,0.731385,0.184764,-0.679834,0.456317
Alpha1_4,2_1_3,15,SideLeft,-0.727244,0.196295,-1.848632,-0.171920,-0.821818,-0.695747,-0.592738,0.229080,1.676712,0.269916,-1.291358,3.169220
Alpha1_4,2_1_3,20,Windward,0.517351,0.195648,0.008763,1.394465,0.372525,0.499309,0.641176,0.268651,1.385702,0.378174,0.486459,0.047353
