Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.461461,0.195433,0.437417,0.317465,0.581790,0.039602,1.341780,0.264325,1.302178,0.423509,0.665033,0.413833
Leeward,-0.535600,0.097389,-0.519553,-0.596486,-0.465400,-0.974045,-0.290778,0.131087,0.683268,0.181832,-0.639672,0.256598
SideRight,-0.336305,0.261098,-0.311519,-0.502274,-0.152719,-1.546221,0.369020,0.349555,1.915242,0.776374,-0.464302,0.203737
SideLeft,-0.624520,0.141897,-0.602206,-0.687882,-0.535194,-2.313143,-0.281157,0.152687,2.031986,0.227209,-2.316662,14.943292
