Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.582489,0.167284,-0.561965,-0.681968,-0.468059,-1.372797,-0.112199,0.213910,1.260597,0.287188,-0.692548,0.838434
Leeward,-0.620981,0.185349,-0.599899,-0.740270,-0.485736,-1.424948,-0.076065,0.254534,1.348883,0.298478,-0.526838,0.213731
SideRight,0.563465,0.211619,0.536890,0.409345,0.697280,0.068136,1.462503,0.287936,1.394367,0.375567,0.630690,0.304945
SideLeft,-0.289151,0.068307,-0.281351,-0.328116,-0.241106,-0.618131,-0.074203,0.087010,0.543928,0.236232,-0.681101,0.689105
