Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.543501,0.199645,0.526517,0.403063,0.668783,-0.001725,1.390449,0.265720,1.392175,0.367331,0.423685,0.021871
Leeward,-0.616328,0.117505,-0.603924,-0.681115,-0.533331,-1.211095,-0.268328,0.147784,0.942767,0.190654,-0.778910,1.063056
SideRight,-0.857724,0.248137,-0.818011,-0.995929,-0.685118,-2.377140,-0.333743,0.310811,2.043397,0.289297,-0.983617,1.818298
SideLeft,-0.885944,0.263842,-0.846893,-1.033292,-0.694404,-2.182038,-0.251911,0.338889,1.930127,0.297809,-0.877603,1.002256
