Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.351642,0.137768,-0.340472,-0.433633,-0.258500,-0.955821,0.113774,0.175133,1.069595,0.391786,-0.484894,0.531498
Leeward,-0.680959,0.147365,-0.659648,-0.772540,-0.575188,-1.307681,-0.306805,0.197352,1.000877,0.216407,-0.606677,0.334323
SideRight,0.532464,0.202848,0.512046,0.382568,0.663244,0.015563,1.413159,0.280677,1.397596,0.380961,0.522906,0.152208
SideLeft,-0.362662,0.080058,-0.354486,-0.413441,-0.304512,-0.759916,-0.145299,0.108929,0.614618,0.220750,-0.581468,0.579174
