Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.585841,0.268887,0.551889,0.387860,0.756851,-0.080164,1.719545,0.368991,1.799709,0.458976,0.609093,0.247189
Leeward,-0.764292,0.150834,-0.748493,-0.855995,-0.651167,-1.403895,-0.358985,0.204828,1.044911,0.197351,-0.579274,0.141544
SideRight,-0.452778,0.320401,-0.425627,-0.650884,-0.236774,-2.133589,0.446851,0.414110,2.580440,0.707634,-0.473018,0.598120
SideLeft,-0.838760,0.192461,-0.807127,-0.943939,-0.701891,-1.878256,-0.354032,0.242048,1.524224,0.229459,-0.901529,1.149536
