Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.701458,0.196389,-0.684251,-0.819384,-0.560948,-1.825333,0.013127,0.258436,1.838460,0.279973,-0.615355,1.064649
Leeward,-0.761962,0.220278,-0.739071,-0.897144,-0.602665,-1.733171,-0.156796,0.294479,1.576374,0.289094,-0.544979,0.275630
SideRight,0.714799,0.307763,0.673128,0.487111,0.900356,-0.133142,2.344224,0.413245,2.477365,0.430558,0.732478,0.714262
SideLeft,-0.364755,0.079097,-0.361460,-0.414587,-0.311173,-0.761329,-0.060555,0.103414,0.700774,0.216851,-0.291708,0.402398
