alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,2_1_2,0,Windward,0.710424,0.300651,-0.010617,2.179368,0.491156,0.679288,0.897029,0.405872,2.189985,0.423200,0.565750,0.293254
Alpha1_4,2_1_2,0,SideRight,-1.121068,0.314870,-3.232635,-0.336889,-1.302891,-1.077719,-0.899961,0.402930,2.895746,0.280866,-0.838304,1.402159
Alpha1_4,2_1_2,0,Leeward,-0.757840,0.161299,-1.606073,-0.346783,-0.846812,-0.737147,-0.646283,0.200529,1.259290,0.212840,-0.841911,1.221199
Alpha1_4,2_1_2,0,SideLeft,-1.184660,0.362834,-3.105272,-0.373623,-1.400526,-1.143179,-0.925201,0.475325,2.731649,0.306277,-0.712471,0.841035
Alpha1_4,2_1_2,5,Windward,0.689401,0.304243,-0.045423,2.177508,0.462291,0.649779,0.867153,0.404862,2.222931,0.441315,0.732769,0.518445
Alpha1_4,2_1_2,5,SideRight,-1.160032,0.352148,-2.671262,-0.180657,-1.367605,-1.107814,-0.910338,0.457267,2.490605,0.303567,-0.696402,0.557437
Alpha1_4,2_1_2,5,Leeward,-0.756325,0.167080,-1.698330,-0.345352,-0.858395,-0.736216,-0.632076,0.226319,1.352979,0.220910,-0.685079,0.552704
Alpha1_4,2_1_2,5,SideLeft,-1.144273,0.362518,-3.317641,-0.189894,-1.334316,-1.081390,-0.888828,0.445488,3.127747,0.316811,-1.062358,1.921942
Alpha1_4,2_1_2,10,Windward,0.686868,0.311228,-0.004630,1.907279,0.451846,0.647251,0.879470,0.427624,1.911910,0.453111,0.592149,0.005736
Alpha1_4,2_1_2,10,SideRight,-1.162470,0.356099,-2.666691,-0.221082,-1.381244,-1.135974,-0.908625,0.472619,2.445609,0.306330,-0.431274,0.175315
Alpha1_4,2_1_2,10,Leeward,-0.741038,0.159262,-1.382882,-0.322873,-0.843544,-0.725271,-0.620878,0.222666,1.060009,0.214917,-0.512905,-0.017147
Alpha1_4,2_1_2,10,SideLeft,-1.049496,0.299869,-2.327175,-0.301776,-1.218829,-1.008611,-0.829545,0.389284,2.025399,0.285727,-0.809475,0.775192
Alpha1_4,2_1_2,15,Windward,0.673107,0.301530,-0.040830,1.923847,0.452245,0.628540,0.863506,0.411260,1.964677,0.447967,0.637896,0.321487
