Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.633101,0.290005,0.592343,0.421427,0.803442,-0.153411,2.012445,0.382015,2.165856,0.458071,0.748968,0.690606
Leeward,-0.705445,0.135425,-0.693816,-0.789344,-0.607854,-1.353025,-0.350502,0.181490,1.002523,0.191971,-0.549053,0.414151
SideRight,-0.857253,0.375516,-0.819189,-1.086501,-0.592500,-2.673692,0.250432,0.494001,2.924125,0.438045,-0.545504,0.500445
SideLeft,-0.905359,0.226205,-0.871114,-1.016494,-0.752307,-2.386538,-0.360218,0.264187,2.026319,0.249852,-1.295994,3.444742
