Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.081020,0.196115,0.069141,-0.047316,0.195624,-0.774321,0.889595,0.242941,1.663916,2.420578,0.313423,0.559134
Leeward,-0.929475,0.160270,-0.913503,-1.030561,-0.815778,-1.557353,-0.411966,0.214784,1.145388,0.172431,-0.442231,0.168080
SideRight,0.476537,0.254101,0.450298,0.286717,0.642439,-0.257944,1.560874,0.355722,1.818818,0.533224,0.505737,0.127043
SideLeft,-0.651163,0.120998,-0.640453,-0.724402,-0.565665,-1.300123,-0.303414,0.158737,0.996709,0.185818,-0.633887,1.016011
