Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.543859,0.155644,0.528587,0.431333,0.645366,0.128179,1.216065,0.214033,1.087885,0.286185,0.444096,0.000862
Leeward,-0.543299,0.116317,-0.530418,-0.613063,-0.459569,-1.265148,-0.236211,0.153494,1.028937,0.214093,-0.793096,1.380386
SideRight,-0.820500,0.204907,-0.800515,-0.943536,-0.676432,-1.817880,-0.238617,0.267105,1.579263,0.249735,-0.604264,0.657170
SideLeft,-0.837617,0.209742,-0.811824,-0.964905,-0.688931,-1.712336,-0.302992,0.275974,1.409344,0.250403,-0.605129,0.355387
