alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,1_1_5,0,Windward,0.543859,0.155644,0.128179,1.216065,0.431333,0.528587,0.645366,0.214033,1.087885,0.286185,0.444096,0.000862
Alpha1_4,1_1_5,0,SideRight,-0.820500,0.204907,-1.817880,-0.238617,-0.943536,-0.800515,-0.676432,0.267105,1.579263,0.249735,-0.604264,0.657170
Alpha1_4,1_1_5,0,Leeward,-0.543299,0.116317,-1.265148,-0.236211,-0.613063,-0.530418,-0.459569,0.153494,1.028937,0.214093,-0.793096,1.380386
Alpha1_4,1_1_5,0,SideLeft,-0.837617,0.209742,-1.712336,-0.302992,-0.964905,-0.811824,-0.688931,0.275974,1.409344,0.250403,-0.605129,0.355387
Alpha1_4,1_1_5,5,Windward,0.535270,0.149340,0.122752,1.111194,0.428388,0.528821,0.636255,0.207867,0.988442,0.279000,0.231253,-0.075104
Alpha1_4,1_1_5,5,SideRight,-0.860075,0.214104,-1.923035,-0.279195,-0.990377,-0.837952,-0.707826,0.282551,1.643840,0.248936,-0.637932,0.702536
Alpha1_4,1_1_5,5,Leeward,-0.558494,0.115188,-1.038909,-0.247656,-0.631702,-0.547491,-0.473140,0.158562,0.791253,0.206247,-0.493300,0.049747
Alpha1_4,1_1_5,5,SideLeft,-0.818691,0.211333,-1.765211,-0.327719,-0.943705,-0.789958,-0.667648,0.276056,1.437492,0.258135,-0.725977,0.744282
Alpha1_4,1_1_5,10,Windward,0.540847,0.159855,0.113546,1.147447,0.424060,0.532493,0.644093,0.220033,1.033901,0.295565,0.358730,-0.097956
Alpha1_4,1_1_5,10,SideRight,-0.780770,0.214976,-1.785854,-0.236071,-0.918748,-0.763751,-0.623440,0.295308,1.549783,0.275338,-0.476631,0.299407
Alpha1_4,1_1_5,10,Leeward,-0.514187,0.111163,-1.119971,-0.215411,-0.579109,-0.502667,-0.435604,0.143505,0.904560,0.216191,-0.662750,0.743662
Alpha1_4,1_1_5,10,SideLeft,-0.695629,0.174309,-1.570494,-0.284983,-0.788624,-0.670896,-0.572810,0.215814,1.285510,0.250578,-0.880071,1.050039
Alpha1_4,1_1_5,15,Windward,0.535026,0.146560,0.121243,1.057420,0.426200,0.529387,0.638988,0.212789,0.936178,0.273931,0.202232,-0.314486
Alpha1_4,1_1_5,15,SideRight,-0.715532,0.205144,-1.524022,-0.110635,-0.855420,-0.705754,-0.566904,0.288515,1.413387,0.286701,-0.297034,-0.082659
Alpha1_4,1_1_5,15,Leeward,-0.549888,0.097504,-1.129083,-0.294015,-0.607333,-0.542552,-0.481555,0.125778,0.835068,0.177317,-0.628497,1.044067
Alpha1_4,1_1_5,15,SideLeft,-0.692726,0.132806,-1.674461,-0.337724,-0.768155,-0.679330,-0.597892,0.170263,1.336738,0.191715,-0.893800,2.130385
Alpha1_4,1_1_5,20,Windward,0.526373,0.156852,0.088546,1.125364,0.416051,0.520376,0.627185,0.211134,1.036818,0.297986,0.247057,-0.014494
Alpha1_4,1_1_5,20,SideRight,-0.474637,0.193777,-1.492868,0.052246,-0.588488,-0.454955,-0.334686,0.253802,1.545114,0.408264,-0.641347,0.704531
Alpha1_4,1_1_5,20,Leeward,-0.528268,0.102812,-1.100266,-0.279294,-0.585316,-0.518991,-0.458752,0.126564,0.820972,0.194621,-0.827800,1.591241
Alpha1_4,1_1_5,20,SideLeft,-0.634434,0.119364,-1.282312,-0.340359,-0.705214,-0.623399,-0.552718,0.152496,0.941953,0.188143,-0.745914,1.362699
Alpha1_4,1_1_5,25,Windward,0.504239,0.150828,0.067054,1.069440,0.391812,0.492468,0.605727,0.213915,1.002386,0.299119,0.343326,-0.240788
Alpha1_4,1_1_5,25,SideRight,-0.292120,0.171967,-1.241606,0.204974,-0.395347,-0.275169,-0.174436,0.220910,1.446580,0.588685,-0.537621,0.639928
Alpha1_4,1_1_5,25,Leeward,-0.544355,0.091566,-1.059887,-0.311607,-0.600907,-0.536234,-0.477875,0.123033,0.748280,0.168210,-0.680032,1.033343
Alpha1_4,1_1_5,25,SideLeft,-0.620889,0.106968,-1.222163,-0.335639,-0.682570,-0.609282,-0.544936,0.137634,0.886524,0.172282,-0.779088,1.306205
Alpha1_4,1_1_5,30,Windward,0.449415,0.141180,0.049471,1.102725,0.352200,0.442348,0.540866,0.188666,1.053254,0.314142,0.312685,0.312044
Alpha1_4,1_1_5,30,SideRight,-0.149019,0.143954,-0.654411,0.317838,-0.240939,-0.146914,-0.057566,0.183372,0.972248,0.966014,-0.101543,0.056381
Alpha1_4,1_1_5,30,Leeward,-0.573070,0.092764,-1.132095,-0.328903,-0.628400,-0.561750,-0.508962,0.119438,0.803192,0.161871,-0.774436,1.440586
Alpha1_4,1_1_5,30,SideLeft,-0.631964,0.105188,-1.114656,-0.346061,-0.697129,-0.617039,-0.555651,0.141478,0.768595,0.166447,-0.644005,0.384313
Alpha1_4,1_1_5,35,Windward,0.390601,0.140782,-0.141385,0.901359,0.292339,0.385827,0.483935,0.191596,1.042744,0.360424,0.145180,-0.097805
Alpha1_4,1_1_5,35,SideRight,-0.004338,0.128596,-0.675416,0.417916,-0.090037,-0.003038,0.085080,0.175117,1.093331,29.644455,-0.155664,0.281601
Alpha1_4,1_1_5,35,Leeward,-0.584931,0.089447,-1.069841,-0.338579,-0.639655,-0.576786,-0.521183,0.118473,0.731262,0.152919,-0.577371,0.698018
Alpha1_4,1_1_5,35,SideLeft,-0.627644,0.101044,-1.255098,-0.363349,-0.686583,-0.616035,-0.557264,0.129319,0.891749,0.160989,-0.890417,2.056340
Alpha1_4,1_1_5,40,Windward,0.345404,0.132337,-0.047706,0.913077,0.251964,0.337577,0.429181,0.177217,0.960783,0.383137,0.419726,0.294459
Alpha1_4,1_1_5,40,SideRight,0.133636,0.123732,-0.276544,0.586972,0.051324,0.132945,0.214685,0.163361,0.863516,0.925893,0.011518,0.005798
Alpha1_4,1_1_5,40,Leeward,-0.591539,0.102318,-1.086667,-0.349933,-0.651654,-0.578186,-0.517741,0.133914,0.736734,0.172968,-0.720243,0.662723
Alpha1_4,1_1_5,40,SideLeft,-0.615710,0.109015,-1.188069,-0.382354,-0.678540,-0.602266,-0.536539,0.142001,0.805715,0.177056,-0.808632,1.025262
Alpha1_4,1_1_5,45,Windward,0.268686,0.131188,-0.257334,0.751986,0.175627,0.259180,0.355610,0.179983,1.009320,0.488259,0.229469,-0.062318
Alpha1_4,1_1_5,45,SideRight,0.224671,0.115749,-0.122725,0.726829,0.143795,0.222867,0.298788,0.154993,0.849555,0.515190,0.234869,0.156170
Alpha1_4,1_1_5,45,Leeward,-0.605099,0.101629,-1.125247,-0.329879,-0.665195,-0.592414,-0.531454,0.133741,0.795368,0.167954,-0.722270,0.821696
Alpha1_4,1_1_5,45,SideLeft,-0.605646,0.103662,-1.067208,-0.335089,-0.668090,-0.596355,-0.530955,0.137135,0.732119,0.171160,-0.626914,0.552929
Alpha1_4,1_1_5,50,Windward,0.178068,0.132905,-0.293235,0.656978,0.086849,0.178524,0.266353,0.179504,0.950213,0.746370,0.070506,-0.047179
Alpha1_4,1_1_5,50,SideRight,0.308830,0.129898,-0.283281,0.862633,0.220746,0.300601,0.392353,0.171607,1.145913,0.420613,0.241767,0.334227
Alpha1_4,1_1_5,50,Leeward,-0.613550,0.106887,-1.125733,-0.310627,-0.677136,-0.606164,-0.538215,0.138921,0.815106,0.174210,-0.554844,0.677357
Alpha1_4,1_1_5,50,SideLeft,-0.597526,0.106103,-1.278371,-0.320014,-0.661729,-0.586444,-0.522968,0.138761,0.958358,0.177571,-0.721792,1.282796
