Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.526373,0.156852,0.520376,0.416051,0.627185,0.088546,1.125364,0.211134,1.036818,0.297986,0.247057,-0.014494
Leeward,-0.528268,0.102812,-0.518991,-0.585316,-0.458752,-1.100266,-0.279294,0.126564,0.820972,0.194621,-0.827800,1.591241
SideRight,-0.474637,0.193777,-0.454955,-0.588488,-0.334686,-1.492868,0.052246,0.253802,1.545114,0.408264,-0.641347,0.704531
SideLeft,-0.634434,0.119364,-0.623399,-0.705214,-0.552718,-1.282312,-0.340359,0.152496,0.941953,0.188143,-0.745914,1.362699
