Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.754749,0.192989,0.738763,0.617616,0.880640,0.263575,1.715060,0.263024,1.451485,0.255699,0.396698,0.244135
Leeward,-0.754865,0.117363,-0.746320,-0.830618,-0.674388,-1.326638,-0.415181,0.156230,0.911457,0.155475,-0.361808,0.431615
SideRight,-0.988911,0.247646,-0.956933,-1.138022,-0.814898,-2.118391,-0.387857,0.323124,1.730534,0.250423,-0.721614,0.787569
SideLeft,-0.872707,0.208942,-0.843837,-0.991278,-0.728466,-1.792273,-0.314098,0.262812,1.478175,0.239418,-0.752305,0.798452
