Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.688511,0.190746,0.672963,0.548834,0.808147,0.262952,1.579144,0.259313,1.316192,0.277041,0.545662,0.281004
Leeward,-0.714357,0.116197,-0.701988,-0.782131,-0.631331,-1.246783,-0.431273,0.150800,0.815511,0.162660,-0.757786,1.064063
SideRight,-1.014710,0.261033,-0.994042,-1.180862,-0.828020,-2.050851,-0.243845,0.352843,1.807006,0.257249,-0.445246,0.221596
SideLeft,-0.788959,0.198507,-0.753878,-0.887789,-0.656464,-2.088058,-0.281971,0.231325,1.806087,0.251607,-1.370925,3.737802
