alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_6,3_1_3,0,Windward,0.776386,0.198745,0.234039,1.603721,0.634251,0.763420,0.899696,0.265445,1.369682,0.255987,0.445620,0.262463
Alpha1_6,3_1_3,0,SideRight,-0.902779,0.221915,-2.060559,-0.347486,-1.017768,-0.877965,-0.752973,0.264794,1.713073,0.245813,-0.892904,1.544180
Alpha1_6,3_1_3,0,Leeward,-0.751862,0.117537,-1.341762,-0.326117,-0.822907,-0.741481,-0.674238,0.148668,1.015645,0.156327,-0.382207,0.608918
Alpha1_6,3_1_3,0,SideLeft,-0.946174,0.236228,-2.146840,-0.348510,-1.078157,-0.918916,-0.782971,0.295186,1.798329,0.249667,-0.656684,0.755113
Alpha1_6,3_1_3,5,Windward,0.721296,0.202587,0.168188,1.467554,0.581675,0.704209,0.851705,0.270029,1.299366,0.280865,0.362914,0.056538
Alpha1_6,3_1_3,5,SideRight,-0.903103,0.238262,-2.174813,-0.298429,-1.039579,-0.875379,-0.736017,0.303562,1.876384,0.263826,-0.883847,1.578803
Alpha1_6,3_1_3,5,Leeward,-0.717607,0.126985,-1.418069,-0.360660,-0.796814,-0.703523,-0.627602,0.169212,1.057409,0.176956,-0.670173,1.054010
Alpha1_6,3_1_3,5,SideLeft,-0.884845,0.237733,-2.711987,-0.251223,-1.017547,-0.850858,-0.718030,0.299517,2.460763,0.268671,-1.082424,3.100319
Alpha1_6,3_1_3,10,Windward,0.754749,0.192989,0.263575,1.715060,0.617616,0.738763,0.880640,0.263024,1.451485,0.255699,0.396698,0.244135
Alpha1_6,3_1_3,10,SideRight,-0.988911,0.247646,-2.118391,-0.387857,-1.138022,-0.956933,-0.814898,0.323124,1.730534,0.250423,-0.721614,0.787569
Alpha1_6,3_1_3,10,Leeward,-0.754865,0.117363,-1.326638,-0.415181,-0.830618,-0.746320,-0.674388,0.156230,0.911457,0.155475,-0.361808,0.431615
Alpha1_6,3_1_3,10,SideLeft,-0.872707,0.208942,-1.792273,-0.314098,-0.991278,-0.843837,-0.728466,0.262812,1.478175,0.239418,-0.752305,0.798452
Alpha1_6,3_1_3,15,Windward,0.718415,0.200514,0.144864,1.457215,0.571503,0.698889,0.854031,0.282528,1.312351,0.279106,0.404318,-0.105503
Alpha1_6,3_1_3,15,SideRight,-1.049585,0.275908,-2.601198,-0.211190,-1.213062,-1.022833,-0.853921,0.359141,2.390008,0.262874,-0.671470,0.958880
Alpha1_6,3_1_3,15,Leeward,-0.751216,0.121083,-1.313035,-0.450200,-0.825061,-0.738623,-0.666521,0.158539,0.862835,0.161182,-0.599857,0.686770
Alpha1_6,3_1_3,15,SideLeft,-0.852779,0.230376,-2.002201,-0.362601,-0.961574,-0.809171,-0.697403,0.264171,1.639600,0.270147,-1.216440,2.164792
Alpha1_6,3_1_3,20,Windward,0.688511,0.190746,0.262952,1.579144,0.548834,0.672963,0.808147,0.259313,1.316192,0.277041,0.545662,0.281004
Alpha1_6,3_1_3,20,SideRight,-1.014710,0.261033,-2.050851,-0.243845,-1.180862,-0.994042,-0.828020,0.352843,1.807006,0.257249,-0.445246,0.221596
Alpha1_6,3_1_3,20,Leeward,-0.714357,0.116197,-1.246783,-0.431273,-0.782131,-0.701988,-0.631331,0.150800,0.815511,0.162660,-0.757786,1.064063
Alpha1_6,3_1_3,20,SideLeft,-0.788959,0.198507,-2.088058,-0.281971,-0.887789,-0.753878,-0.656464,0.231325,1.806087,0.251607,-1.370925,3.737802
Alpha1_6,3_1_3,25,Windward,0.707226,0.183164,0.158204,1.493269,0.575091,0.692749,0.824612,0.249521,1.335065,0.258990,0.456624,0.289307
Alpha1_6,3_1_3,25,SideRight,-0.852440,0.286350,-2.034151,0.003101,-1.034925,-0.829918,-0.652732,0.382193,2.037252,0.335918,-0.374375,0.091313
Alpha1_6,3_1_3,25,Leeward,-0.690706,0.101362,-1.107849,-0.348682,-0.755608,-0.680596,-0.617120,0.138489,0.759167,0.146751,-0.464968,0.166776
Alpha1_6,3_1_3,25,SideLeft,-0.758086,0.192646,-2.682694,-0.380206,-0.841422,-0.728491,-0.639536,0.201886,2.302488,0.254122,-2.551862,15.371245
Alpha1_6,3_1_3,30,Windward,0.641932,0.189874,0.176715,1.474631,0.499748,0.621466,0.766953,0.267205,1.297916,0.295785,0.504236,0.133495
Alpha1_6,3_1_3,30,SideRight,-0.623286,0.298267,-1.885400,0.106777,-0.810413,-0.596525,-0.404463,0.405950,1.992177,0.478540,-0.552298,0.261419
Alpha1_6,3_1_3,30,Leeward,-0.725152,0.108184,-1.214943,-0.391032,-0.795087,-0.721916,-0.650414,0.144673,0.823911,0.149188,-0.309799,0.314294
Alpha1_6,3_1_3,30,SideLeft,-0.763604,0.169447,-1.916031,-0.355412,-0.857097,-0.746081,-0.642839,0.214257,1.560619,0.221904,-1.076661,2.734460
Alpha1_6,3_1_3,35,Windward,0.595516,0.178287,0.132223,1.267774,0.467388,0.581679,0.708297,0.240908,1.135552,0.299383,0.393131,-0.105702
Alpha1_6,3_1_3,35,SideRight,-0.325599,0.260409,-1.426175,0.318009,-0.490996,-0.299078,-0.134405,0.356591,1.744184,0.799784,-0.532307,0.219913
Alpha1_6,3_1_3,35,Leeward,-0.716266,0.102269,-1.095628,-0.400999,-0.782236,-0.710978,-0.642587,0.139648,0.694629,0.142780,-0.332628,-0.018457
Alpha1_6,3_1_3,35,SideLeft,-0.721796,0.149358,-1.766996,-0.314275,-0.795209,-0.701996,-0.620428,0.174781,1.452721,0.206925,-1.376183,4.215133
Alpha1_6,3_1_3,40,Windward,0.545386,0.161148,0.109175,1.181332,0.428893,0.531695,0.647644,0.218751,1.072158,0.295476,0.455671,0.075323
