Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.545386,0.161148,0.531695,0.428893,0.647644,0.109175,1.181332,0.218751,1.072158,0.295476,0.455671,0.075323
Leeward,-0.719083,0.107374,-0.711996,-0.787216,-0.639660,-1.174608,-0.401593,0.147556,0.773015,0.149320,-0.436631,0.056090
SideRight,-0.088083,0.223642,-0.082662,-0.231484,0.062661,-0.939797,0.605298,0.294145,1.545095,2.538992,-0.207173,0.074574
SideLeft,-0.650689,0.126962,-0.634564,-0.718858,-0.564758,-1.548072,-0.289073,0.154100,1.258999,0.195119,-1.129205,3.490104
