alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_6,3_1_5,0,Windward,0.723685,0.164597,0.311718,1.372198,0.598988,0.710625,0.834039,0.235051,1.060480,0.227442,0.445583,0.001377
Alpha1_6,3_1_5,0,SideRight,-0.830038,0.187484,-1.627675,-0.394521,-0.933881,-0.804354,-0.695155,0.238726,1.233154,0.225875,-0.833771,0.921763
Alpha1_6,3_1_5,0,Leeward,-0.710549,0.108082,-1.162995,-0.409096,-0.780343,-0.707202,-0.633811,0.146532,0.753899,0.152110,-0.361628,0.229366
Alpha1_6,3_1_5,0,SideLeft,-0.850333,0.200237,-2.114284,-0.327229,-0.960919,-0.828554,-0.709373,0.251546,1.787055,0.235480,-1.043902,2.733283
Alpha1_6,3_1_5,5,Windward,0.747633,0.164929,0.283921,1.355869,0.630014,0.732683,0.857646,0.227632,1.071948,0.220602,0.330446,-0.152905
Alpha1_6,3_1_5,5,SideRight,-0.802352,0.168507,-1.919756,-0.347489,-0.893116,-0.780961,-0.686561,0.206555,1.572267,0.210016,-1.076913,2.805361
Alpha1_6,3_1_5,5,Leeward,-0.666588,0.095407,-1.072714,-0.388923,-0.728403,-0.661306,-0.600417,0.127987,0.683791,0.143127,-0.345977,0.104773
Alpha1_6,3_1_5,5,SideLeft,-0.784874,0.166228,-1.734201,-0.395990,-0.883692,-0.763782,-0.668350,0.215342,1.338211,0.211790,-0.795690,1.317899
Alpha1_6,3_1_5,10,Windward,0.656767,0.157443,0.216481,1.234867,0.544742,0.647916,0.762940,0.218199,1.018386,0.239724,0.229171,-0.243555
Alpha1_6,3_1_5,10,SideRight,-0.845908,0.201506,-1.975274,-0.207445,-0.958563,-0.818223,-0.704028,0.254535,1.767829,0.238213,-0.890276,1.565859
Alpha1_6,3_1_5,10,Leeward,-0.674418,0.103099,-1.154405,-0.376488,-0.733356,-0.665917,-0.603119,0.130237,0.777917,0.152871,-0.572097,0.674676
