Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.559473,0.122455,-0.551886,-0.640088,-0.468220,-1.057879,-0.192654,0.171867,0.865225,0.218876,-0.354096,-0.094587
Leeward,-0.655493,0.133137,-0.642193,-0.734903,-0.563206,-1.205573,-0.240062,0.171696,0.965510,0.203109,-0.540974,0.577611
SideRight,0.737003,0.160938,0.728850,0.623806,0.846230,0.230952,1.301152,0.222423,1.070200,0.218368,0.165186,-0.183003
SideLeft,-0.286526,0.050919,-0.282715,-0.315378,-0.252390,-0.556902,-0.118690,0.062988,0.438212,0.177711,-0.647553,1.183000
