Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.033565,0.086645,-0.036760,-0.094482,0.022631,-0.304914,0.300685,0.117113,0.605599,2.581397,0.224543,0.056467
Leeward,-0.685696,0.102922,-0.679180,-0.753818,-0.612552,-1.210686,-0.415298,0.141266,0.795388,0.150098,-0.398050,0.374526
SideRight,0.650684,0.144906,0.642954,0.548591,0.743800,0.232519,1.179747,0.195209,0.947229,0.222698,0.292427,-0.017860
SideLeft,-0.501361,0.069390,-0.497512,-0.544817,-0.453413,-0.921164,-0.282838,0.091404,0.638326,0.138402,-0.370470,0.525537
