Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.656767,0.157443,0.647916,0.544742,0.762940,0.216481,1.234867,0.218199,1.018386,0.239724,0.229171,-0.243555
Leeward,-0.674418,0.103099,-0.665917,-0.733356,-0.603119,-1.154405,-0.376488,0.130237,0.777917,0.152871,-0.572097,0.674676
SideRight,-0.845908,0.201506,-0.818223,-0.958563,-0.704028,-1.975274,-0.207445,0.254535,1.767829,0.238213,-0.890276,1.565859
SideLeft,-0.783041,0.176396,-0.759629,-0.869390,-0.663394,-1.987544,-0.332151,0.205996,1.655394,0.225270,-1.204737,3.215124
