Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.270925,0.099027,-0.264742,-0.335346,-0.203019,-0.631112,0.058175,0.132327,0.689288,0.365514,-0.292586,0.110038
Leeward,-0.784832,0.135068,-0.775987,-0.872196,-0.686439,-1.445846,-0.360278,0.185757,1.085568,0.172098,-0.386431,0.370436
SideRight,0.678780,0.173077,0.674012,0.553015,0.792859,0.181346,1.356760,0.239845,1.175413,0.254982,0.289599,-0.050341
SideLeft,-0.397746,0.074321,-0.392611,-0.444975,-0.346327,-0.660911,-0.159087,0.098647,0.501824,0.186854,-0.335055,-0.014261
