alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_6,1_1_2,0,Windward,0.667483,0.221839,0.017446,1.796335,0.509001,0.647717,0.800318,0.291317,1.778889,0.332351,0.704576,0.954527
Alpha1_6,1_1_2,0,SideRight,-0.919164,0.252569,-2.208901,-0.307657,-1.057382,-0.884919,-0.737962,0.319420,1.901244,0.274781,-0.826189,0.905592
Alpha1_6,1_1_2,0,Leeward,-0.532026,0.123854,-1.110134,-0.191960,-0.602483,-0.515234,-0.444097,0.158386,0.918174,0.232796,-0.756216,0.688148
Alpha1_6,1_1_2,0,SideLeft,-0.939248,0.254808,-2.199709,-0.337956,-1.090752,-0.915414,-0.754437,0.336315,1.861754,0.271290,-0.706020,0.775176
Alpha1_6,1_1_2,5,Windward,0.640507,0.225992,0.019466,1.593087,0.477482,0.610491,0.781007,0.303525,1.573621,0.352833,0.640175,0.370902
Alpha1_6,1_1_2,5,SideRight,-0.918218,0.254668,-2.143607,-0.272847,-1.074262,-0.893556,-0.737996,0.336267,1.870760,0.277350,-0.582720,0.519266
Alpha1_6,1_1_2,5,Leeward,-0.532383,0.123457,-1.262148,-0.204085,-0.602665,-0.514763,-0.445465,0.157200,1.058062,0.231895,-0.883036,1.480481
Alpha1_6,1_1_2,5,SideLeft,-0.873068,0.239615,-2.088221,-0.261188,-1.006728,-0.846590,-0.700337,0.306391,1.827033,0.274451,-0.825548,1.219763
Alpha1_6,1_1_2,10,Windward,0.664745,0.214726,-0.104346,1.510000,0.506101,0.646468,0.801097,0.294995,1.614346,0.323020,0.465938,0.138930
Alpha1_6,1_1_2,10,SideRight,-0.850431,0.240841,-1.883802,-0.237572,-1.005056,-0.829062,-0.675311,0.329746,1.646231,0.283199,-0.515144,0.281497
Alpha1_6,1_1_2,10,Leeward,-0.549741,0.110261,-1.044067,-0.243914,-0.618369,-0.540101,-0.470554,0.147816,0.800153,0.200569,-0.540557,0.390461
Alpha1_6,1_1_2,10,SideLeft,-0.821293,0.197816,-1.817308,-0.223301,-0.928123,-0.794087,-0.680747,0.247377,1.594008,0.240859,-0.890873,1.226975
Alpha1_6,1_1_2,15,Windward,0.664205,0.213966,0.145042,1.620767,0.512095,0.643767,0.787732,0.275637,1.475725,0.322138,0.645305,0.530410
Alpha1_6,1_1_2,15,SideRight,-0.667475,0.247036,-1.695982,-0.014078,-0.814135,-0.633539,-0.490790,0.323345,1.681904,0.370105,-0.644157,0.430257
Alpha1_6,1_1_2,15,Leeward,-0.549770,0.116590,-1.330094,-0.187927,-0.618348,-0.534928,-0.467261,0.151086,1.142166,0.212070,-0.883538,2.122563
Alpha1_6,1_1_2,15,SideLeft,-0.777115,0.171308,-1.819525,-0.358557,-0.875659,-0.757550,-0.654738,0.220922,1.460969,0.220440,-0.798410,1.369508
Alpha1_6,1_1_2,20,Windward,0.627990,0.206283,0.116858,1.382738,0.477119,0.604228,0.755192,0.278074,1.265880,0.328481,0.520269,0.032622
Alpha1_6,1_1_2,20,SideRight,-0.460938,0.224877,-1.453885,0.191706,-0.593024,-0.443881,-0.308150,0.284874,1.645591,0.487868,-0.490376,0.567142
Alpha1_6,1_1_2,20,Leeward,-0.570413,0.104094,-1.059887,-0.250302,-0.636041,-0.560934,-0.495614,0.140426,0.809585,0.182489,-0.523944,0.361495
Alpha1_6,1_1_2,20,SideLeft,-0.759710,0.151124,-1.634626,-0.384533,-0.847133,-0.739297,-0.652355,0.194778,1.250093,0.198923,-0.863646,1.476696
Alpha1_6,1_1_2,25,Windward,0.588727,0.204278,-0.068087,1.629207,0.441832,0.567294,0.706718,0.264885,1.697295,0.346982,0.662932,0.760285
Alpha1_6,1_1_2,25,SideRight,-0.289410,0.191041,-1.199230,0.342360,-0.409662,-0.279749,-0.165635,0.244027,1.541590,0.660105,-0.232049,0.223658
Alpha1_6,1_1_2,25,Leeward,-0.574959,0.097067,-1.073067,-0.293390,-0.634534,-0.562533,-0.505883,0.128652,0.779677,0.168824,-0.627557,0.495171
Alpha1_6,1_1_2,25,SideLeft,-0.722411,0.136536,-1.465799,-0.387472,-0.798841,-0.707360,-0.627043,0.171798,1.078327,0.189001,-0.848665,1.442763
Alpha1_6,1_1_2,30,Windward,0.581201,0.201159,0.081184,1.434745,0.432794,0.559014,0.704613,0.271819,1.353561,0.346109,0.591505,0.291012
Alpha1_6,1_1_2,30,SideRight,-0.092203,0.190626,-0.841037,0.813610,-0.212455,-0.089412,0.034584,0.247039,1.654647,2.067465,-0.085249,0.379051
Alpha1_6,1_1_2,30,Leeward,-0.588265,0.096815,-1.018137,-0.301319,-0.645852,-0.580562,-0.518843,0.127009,0.716818,0.164576,-0.635949,0.663904
Alpha1_6,1_1_2,30,SideLeft,-0.709596,0.130180,-1.598435,-0.342886,-0.789130,-0.694685,-0.614500,0.174630,1.255549,0.183457,-0.709805,1.033645
Alpha1_6,1_1_2,35,Windward,0.494815,0.189490,-0.005081,1.555113,0.361111,0.479667,0.611916,0.250805,1.560194,0.382951,0.533342,0.618923
Alpha1_6,1_1_2,35,SideRight,0.071043,0.180424,-0.543778,0.938447,-0.046239,0.069864,0.183446,0.229685,1.482225,2.539662,0.228877,0.717406
Alpha1_6,1_1_2,35,Leeward,-0.618618,0.103719,-1.232900,-0.360915,-0.678894,-0.606692,-0.544947,0.133947,0.871985,0.167662,-0.879745,1.806841
Alpha1_6,1_1_2,35,SideLeft,-0.710148,0.131704,-1.432476,-0.376092,-0.789394,-0.693599,-0.614998,0.174396,1.056384,0.185459,-0.801769,1.109114
Alpha1_6,1_1_2,40,Windward,0.412812,0.180340,-0.119612,1.217753,0.284453,0.399868,0.524938,0.240485,1.337365,0.436858,0.437763,0.345488
Alpha1_6,1_1_2,40,SideRight,0.190141,0.166549,-0.631784,0.990135,0.081968,0.173774,0.284535,0.202568,1.621919,0.875925,0.481039,1.150641
Alpha1_6,1_1_2,40,Leeward,-0.632287,0.112164,-1.372323,-0.333707,-0.695284,-0.619071,-0.553116,0.142168,1.038615,0.177394,-1.051216,2.811002
