Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.667483,0.221839,0.647717,0.509001,0.800318,0.017446,1.796335,0.291317,1.778889,0.332351,0.704576,0.954527
Leeward,-0.532026,0.123854,-0.515234,-0.602483,-0.444097,-1.110134,-0.191960,0.158386,0.918174,0.232796,-0.756216,0.688148
SideRight,-0.919164,0.252569,-0.884919,-1.057382,-0.737962,-2.208901,-0.307657,0.319420,1.901244,0.274781,-0.826189,0.905592
SideLeft,-0.939248,0.254808,-0.915414,-1.090752,-0.754437,-2.199709,-0.337956,0.336315,1.861754,0.271290,-0.706020,0.775176
