Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.412812,0.180340,0.399868,0.284453,0.524938,-0.119612,1.217753,0.240485,1.337365,0.436858,0.437763,0.345488
Leeward,-0.632287,0.112164,-0.619071,-0.695284,-0.553116,-1.372323,-0.333707,0.142168,1.038615,0.177394,-1.051216,2.811002
SideRight,0.190141,0.166549,0.173774,0.081968,0.284535,-0.631784,0.990135,0.202568,1.621919,0.875925,0.481039,1.150641
SideLeft,-0.677172,0.126840,-0.661658,-0.738384,-0.592367,-1.454099,-0.350576,0.146017,1.103523,0.187308,-1.115834,2.553736
