Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.228044,0.177595,0.216549,0.103560,0.340306,-0.485771,0.979692,0.236746,1.465463,0.778774,0.294443,0.108131
Leeward,-0.664561,0.119539,-0.650677,-0.733566,-0.583516,-1.682314,-0.364904,0.150050,1.317410,0.179877,-1.210869,5.405219
SideRight,0.407227,0.175857,0.385789,0.277968,0.521408,-0.136230,1.264027,0.243440,1.400257,0.431841,0.499810,0.107483
SideLeft,-0.619008,0.107718,-0.610526,-0.686710,-0.543470,-1.391385,-0.341297,0.143240,1.050088,0.174017,-0.667375,1.571120
