Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.270604,0.112292,0.263637,0.189551,0.342743,-0.053293,0.734090,0.153193,0.787382,0.414966,0.368306,-0.012465
Leeward,-0.548947,0.077809,-0.545778,-0.597901,-0.495028,-0.874219,-0.303298,0.102873,0.570921,0.141742,-0.330699,0.209169
SideRight,0.183956,0.136916,0.177616,0.092841,0.271549,-0.262373,0.732911,0.178708,0.995285,0.744285,0.207696,0.254508
SideLeft,-0.525245,0.084157,-0.517277,-0.573746,-0.466953,-0.964055,-0.280884,0.106792,0.683171,0.160224,-0.793685,1.630937
