Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.563785,0.168315,0.550910,0.442993,0.679380,0.057166,1.160290,0.236388,1.103124,0.298545,0.275952,-0.243801
Leeward,-0.584789,0.090029,-0.578109,-0.639424,-0.522428,-0.969232,-0.336134,0.116997,0.633098,0.153951,-0.475157,0.361253
SideRight,-0.722498,0.172004,-0.698538,-0.810139,-0.607398,-1.582439,-0.305062,0.202741,1.277377,0.238068,-1.020549,1.926472
SideLeft,-0.735921,0.181838,-0.714364,-0.839551,-0.605883,-1.805656,-0.293422,0.233667,1.512234,0.247089,-0.975642,2.139236
