Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.519347,0.154645,0.508710,0.407219,0.627310,0.104180,1.083637,0.220091,0.979458,0.297767,0.251227,-0.307131
Leeward,-0.578727,0.099435,-0.569140,-0.641123,-0.506969,-0.996468,-0.287890,0.134153,0.708578,0.171817,-0.506303,0.162123
SideRight,-0.823311,0.225032,-0.810493,-0.969064,-0.663066,-1.653422,-0.225480,0.305998,1.427941,0.273326,-0.346566,0.032862
SideLeft,-0.641871,0.148598,-0.618686,-0.709110,-0.541291,-1.482980,-0.267070,0.167820,1.215910,0.231508,-1.195464,2.260792
