Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.667080,0.122535,-0.661233,-0.751279,-0.579024,-1.081538,-0.303071,0.172255,0.778467,0.183689,-0.194824,-0.303048
Leeward,-0.261590,0.099187,-0.261178,-0.325564,-0.195276,-0.735430,0.093765,0.130288,0.829196,0.379169,-0.227358,0.539808
SideRight,0.540940,0.154030,0.529397,0.435873,0.642219,0.069788,1.084324,0.206346,1.014536,0.284745,0.256110,-0.131999
SideLeft,-0.306156,0.059666,-0.300009,-0.343473,-0.263857,-0.573910,-0.109513,0.079616,0.464397,0.194887,-0.546176,0.469780
