alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,3_1_5,0,Windward,0.563785,0.168315,0.057166,1.160290,0.442993,0.550910,0.679380,0.236388,1.103124,0.298545,0.275952,-0.243801
Alpha1_4,3_1_5,0,SideRight,-0.722498,0.172004,-1.582439,-0.305062,-0.810139,-0.698538,-0.607398,0.202741,1.277377,0.238068,-1.020549,1.926472
Alpha1_4,3_1_5,0,Leeward,-0.584789,0.090029,-0.969232,-0.336134,-0.639424,-0.578109,-0.522428,0.116997,0.633098,0.153951,-0.475157,0.361253
Alpha1_4,3_1_5,0,SideLeft,-0.735921,0.181838,-1.805656,-0.293422,-0.839551,-0.714364,-0.605883,0.233667,1.512234,0.247089,-0.975642,2.139236
Alpha1_4,3_1_5,5,Windward,0.527061,0.158005,0.104457,1.095612,0.416839,0.513608,0.626521,0.209682,0.991154,0.299785,0.425971,0.098016
Alpha1_4,3_1_5,5,SideRight,-0.756488,0.204027,-1.875699,-0.286936,-0.860613,-0.725965,-0.614407,0.246206,1.588762,0.269703,-1.036648,1.823084
Alpha1_4,3_1_5,5,Leeward,-0.594036,0.106989,-1.127516,-0.336087,-0.652514,-0.578649,-0.518549,0.133965,0.791429,0.180105,-0.949088,1.546191
Alpha1_4,3_1_5,5,SideLeft,-0.731241,0.217024,-1.962907,-0.269716,-0.821107,-0.688600,-0.587922,0.233185,1.693190,0.296789,-1.598192,4.141904
Alpha1_4,3_1_5,10,Windward,0.534566,0.156883,0.091264,1.197165,0.423809,0.525041,0.635464,0.211655,1.105901,0.293478,0.373527,0.203889
Alpha1_4,3_1_5,10,SideRight,-0.821495,0.219991,-1.706404,-0.331080,-0.943376,-0.787004,-0.661197,0.282179,1.375323,0.267793,-0.801819,0.605432
Alpha1_4,3_1_5,10,Leeward,-0.609411,0.100468,-1.030890,-0.313266,-0.667754,-0.600541,-0.538312,0.129442,0.717624,0.164861,-0.577340,0.468997
Alpha1_4,3_1_5,10,SideLeft,-0.711688,0.175983,-1.593022,-0.296763,-0.796008,-0.688031,-0.592991,0.203018,1.296259,0.247276,-1.139924,2.178331
Alpha1_4,3_1_5,15,Windward,0.534900,0.158626,0.127405,1.202993,0.419439,0.522447,0.635120,0.215681,1.075588,0.296553,0.410572,-0.005703
Alpha1_4,3_1_5,15,SideRight,-0.826827,0.211040,-1.772222,-0.257115,-0.951629,-0.811895,-0.674738,0.276891,1.515108,0.255240,-0.519798,0.362529
Alpha1_4,3_1_5,15,Leeward,-0.591001,0.102081,-1.089060,-0.328209,-0.645389,-0.578811,-0.522085,0.123303,0.760851,0.172726,-0.797536,0.988038
Alpha1_4,3_1_5,15,SideLeft,-0.678701,0.191376,-2.010026,-0.243524,-0.748510,-0.639253,-0.561523,0.186987,1.766502,0.281973,-2.177352,8.328262
Alpha1_4,3_1_5,20,Windward,0.519347,0.154645,0.104180,1.083637,0.407219,0.508710,0.627310,0.220091,0.979458,0.297767,0.251227,-0.307131
Alpha1_4,3_1_5,20,SideRight,-0.823311,0.225032,-1.653422,-0.225480,-0.969064,-0.810493,-0.663066,0.305998,1.427941,0.273326,-0.346566,0.032862
Alpha1_4,3_1_5,20,Leeward,-0.578727,0.099435,-0.996468,-0.287890,-0.641123,-0.569140,-0.506969,0.134153,0.708578,0.171817,-0.506303,0.162123
Alpha1_4,3_1_5,20,SideLeft,-0.641871,0.148598,-1.482980,-0.267070,-0.709110,-0.618686,-0.541291,0.167820,1.215910,0.231508,-1.195464,2.260792
Alpha1_4,3_1_5,25,Windward,0.465697,0.147833,0.034018,1.014963,0.362746,0.446307,0.556719,0.193973,0.980945,0.317445,0.480653,0.020458
Alpha1_4,3_1_5,25,SideRight,-0.674799,0.233472,-1.982683,-0.061343,-0.820462,-0.649321,-0.507578,0.312883,1.921341,0.345987,-0.558584,0.465604
Alpha1_4,3_1_5,25,Leeward,-0.533017,0.092403,-1.054729,-0.270075,-0.581117,-0.518541,-0.469892,0.111225,0.784654,0.173358,-0.938799,1.491439
Alpha1_4,3_1_5,25,SideLeft,-0.583371,0.131693,-1.467665,-0.276112,-0.645682,-0.556850,-0.494468,0.151214,1.191554,0.225744,-1.513573,3.994025
Alpha1_4,3_1_5,30,Windward,0.462955,0.147469,0.031386,1.142549,0.354396,0.454024,0.559270,0.204875,1.111163,0.318539,0.395845,0.139470
Alpha1_4,3_1_5,30,SideRight,-0.454963,0.231914,-1.523660,0.155052,-0.598192,-0.433374,-0.283895,0.314297,1.678712,0.509742,-0.528174,0.236271
Alpha1_4,3_1_5,30,Leeward,-0.529043,0.082400,-0.880628,-0.287665,-0.580066,-0.523619,-0.470963,0.109103,0.592962,0.155753,-0.477842,0.370616
Alpha1_4,3_1_5,30,SideLeft,-0.573952,0.104733,-1.369923,-0.311984,-0.629458,-0.561497,-0.502672,0.126786,1.057939,0.182476,-1.290310,4.751006
Alpha1_4,3_1_5,35,Windward,0.423928,0.131679,0.086847,0.887349,0.331069,0.421437,0.512432,0.181363,0.800502,0.310616,0.177645,-0.237231
Alpha1_4,3_1_5,35,SideRight,-0.307691,0.206476,-1.154145,0.405050,-0.445777,-0.289316,-0.158355,0.287421,1.559195,0.671049,-0.364776,0.017076
Alpha1_4,3_1_5,35,Leeward,-0.538441,0.074643,-0.880481,-0.325389,-0.583537,-0.532315,-0.485854,0.097683,0.555093,0.138628,-0.528042,0.458440
Alpha1_4,3_1_5,35,SideLeft,-0.570475,0.104104,-1.165582,-0.289634,-0.628012,-0.557818,-0.498729,0.129283,0.875948,0.182486,-1.023226,2.480109
Alpha1_4,3_1_5,40,Windward,0.393214,0.131223,-0.025298,1.011497,0.300749,0.386426,0.480155,0.179406,1.036795,0.333718,0.268966,0.220989
Alpha1_4,3_1_5,40,SideRight,-0.097863,0.184967,-0.959151,0.440406,-0.210281,-0.083172,0.033528,0.243809,1.399557,1.890065,-0.506185,0.536269
Alpha1_4,3_1_5,40,Leeward,-0.537953,0.073361,-0.880393,-0.287538,-0.582724,-0.534115,-0.487045,0.095679,0.592855,0.136371,-0.430625,0.542496
Alpha1_4,3_1_5,40,SideLeft,-0.565887,0.093578,-1.184938,-0.326405,-0.613891,-0.554973,-0.503632,0.110259,0.858533,0.165365,-1.082707,2.831290
Alpha1_4,3_1_5,45,Windward,0.335078,0.121802,0.005297,0.906249,0.245916,0.332146,0.414967,0.169050,0.900953,0.363503,0.322854,0.189800
Alpha1_4,3_1_5,45,SideRight,0.085592,0.153413,-0.528004,0.626841,-0.018572,0.088697,0.192054,0.210626,1.154845,1.792380,-0.070016,-0.049006
Alpha1_4,3_1_5,45,Leeward,-0.545897,0.077132,-0.899052,-0.340985,-0.589504,-0.535371,-0.492066,0.097438,0.558066,0.141294,-0.766350,0.865387
Alpha1_4,3_1_5,45,SideLeft,-0.542722,0.088158,-1.076663,-0.283303,-0.590970,-0.530982,-0.480915,0.110055,0.793360,0.162437,-0.918968,1.731480
Alpha1_4,3_1_5,50,Windward,0.270604,0.112292,-0.053293,0.734090,0.189551,0.263637,0.342743,0.153193,0.787382,0.414966,0.368306,-0.012465
Alpha1_4,3_1_5,50,SideRight,0.183956,0.136916,-0.262373,0.732911,0.092841,0.177616,0.271549,0.178708,0.995285,0.744285,0.207696,0.254508
Alpha1_4,3_1_5,50,Leeward,-0.548947,0.077809,-0.874219,-0.303298,-0.597901,-0.545778,-0.495028,0.102873,0.570921,0.141742,-0.330699,0.209169
Alpha1_4,3_1_5,50,SideLeft,-0.525245,0.084157,-0.964055,-0.280884,-0.573746,-0.517277,-0.466953,0.106792,0.683171,0.160224,-0.793685,1.630937
Alpha1_4,3_1_5,55,Windward,0.184933,0.113595,-0.137229,0.660459,0.103865,0.177081,0.252901,0.149036,0.797688,0.614252,0.499846,0.313717
Alpha1_4,3_1_5,55,SideRight,0.287386,0.135101,-0.153671,0.830306,0.194210,0.280763,0.376831,0.182622,0.983977,0.470102,0.272440,0.086027
Alpha1_4,3_1_5,55,Leeward,-0.558476,0.083951,-0.931926,-0.316495,-0.607980,-0.551204,-0.499163,0.108818,0.615431,0.150322,-0.568712,0.477803
Alpha1_4,3_1_5,55,SideLeft,-0.501341,0.076651,-0.954359,-0.270031,-0.545038,-0.494994,-0.448654,0.096384,0.684328,0.152892,-0.686458,1.203542
Alpha1_4,3_1_5,60,Windward,0.107898,0.094166,-0.196209,0.463153,0.041545,0.106445,0.171285,0.129740,0.659361,0.872734,0.142893,-0.168964
Alpha1_4,3_1_5,60,SideRight,0.375130,0.137698,-0.059633,0.910678,0.281235,0.371186,0.462647,0.181411,0.970311,0.367068,0.211993,-0.038497
Alpha1_4,3_1_5,60,Leeward,-0.577001,0.093103,-1.004391,-0.299601,-0.633954,-0.569049,-0.510714,0.123240,0.704791,0.161357,-0.548150,0.636627
Alpha1_4,3_1_5,60,SideLeft,-0.486616,0.084789,-0.948782,-0.205157,-0.533560,-0.480166,-0.431946,0.101614,0.743624,0.174242,-0.729816,1.895538
Alpha1_4,3_1_5,65,Windward,0.041043,0.089910,-0.271603,0.384553,-0.019006,0.039830,0.101018,0.120024,0.656156,2.190646,0.032623,0.110802
Alpha1_4,3_1_5,65,SideRight,0.429059,0.135975,0.020565,0.935119,0.332492,0.421649,0.512734,0.180242,0.914554,0.316915,0.344921,-0.087298
Alpha1_4,3_1_5,65,Leeward,-0.595510,0.094109,-1.017882,-0.320436,-0.652905,-0.585819,-0.529788,0.123117,0.697446,0.158031,-0.567009,0.601769
Alpha1_4,3_1_5,65,SideLeft,-0.450893,0.069353,-0.750030,-0.213021,-0.497065,-0.447365,-0.402489,0.094576,0.537009,0.153813,-0.267086,0.122023
Alpha1_4,3_1_5,70,Windward,-0.047986,0.087373,-0.362623,0.374993,-0.106838,-0.049210,0.010589,0.117426,0.737616,1.820791,0.077973,0.277657
Alpha1_4,3_1_5,70,SideRight,0.465942,0.145262,0.111631,1.099929,0.361829,0.450124,0.559622,0.197794,0.988299,0.311759,0.450322,-0.049116
Alpha1_4,3_1_5,70,Leeward,-0.606327,0.113169,-1.059654,-0.300245,-0.682896,-0.596672,-0.520484,0.162412,0.759409,0.186646,-0.406454,-0.126461
Alpha1_4,3_1_5,70,SideLeft,-0.404582,0.070523,-0.752479,-0.191626,-0.450813,-0.401799,-0.353521,0.097292,0.560853,0.174310,-0.361867,0.269137
Alpha1_4,3_1_5,75,Windward,-0.122793,0.096999,-0.443348,0.260754,-0.183866,-0.121031,-0.060217,0.123649,0.704101,0.789938,-0.061286,0.334415
Alpha1_4,3_1_5,75,SideRight,0.512328,0.155904,0.087099,1.181257,0.400101,0.502103,0.609911,0.209810,1.094158,0.304305,0.379227,-0.017573
Alpha1_4,3_1_5,75,Leeward,-0.631907,0.118733,-1.146818,-0.314454,-0.710605,-0.622880,-0.542366,0.168239,0.832363,0.187897,-0.423457,-0.060306
Alpha1_4,3_1_5,75,SideLeft,-0.365470,0.071660,-0.643100,-0.152009,-0.412530,-0.362654,-0.313601,0.098929,0.491091,0.196075,-0.259669,-0.184621
Alpha1_4,3_1_5,80,Windward,-0.221260,0.100109,-0.660091,0.124335,-0.286442,-0.218119,-0.152609,0.133834,0.784426,0.452452,-0.187394,0.168230
Alpha1_4,3_1_5,80,SideRight,0.547203,0.158460,0.132090,1.171735,0.435895,0.533412,0.644994,0.209099,1.039645,0.289581,0.458254,0.282195
Alpha1_4,3_1_5,80,Leeward,-0.667611,0.128958,-1.279245,-0.295544,-0.748728,-0.657728,-0.577999,0.170730,0.983701,0.193163,-0.431384,0.396685
Alpha1_4,3_1_5,80,SideLeft,-0.333282,0.067225,-0.653454,-0.142250,-0.374066,-0.329269,-0.286447,0.087619,0.511204,0.201706,-0.517741,0.667851
