Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.032389,0.105038,-0.037862,-0.099516,0.036338,-0.409262,0.429131,0.135854,0.838392,3.242979,0.095127,0.152032
Leeward,-0.670413,0.124527,-0.658993,-0.742248,-0.583637,-1.344855,-0.307162,0.158610,1.037694,0.185747,-0.634704,0.998090
SideRight,0.452878,0.181132,0.440584,0.324845,0.560467,-0.041488,1.214376,0.235623,1.255863,0.399957,0.494983,0.292314
SideLeft,-0.395442,0.080295,-0.388373,-0.445280,-0.337859,-0.796231,-0.163339,0.107420,0.632892,0.203051,-0.541812,0.437280
