Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.099960,0.114745,0.092353,0.016396,0.174183,-0.307784,0.608791,0.157787,0.916575,1.147904,0.372386,0.120753
Leeward,-0.666098,0.099511,-0.657876,-0.732125,-0.594128,-1.147287,-0.343822,0.137997,0.803465,0.149395,-0.373257,0.108606
SideRight,0.322361,0.170104,0.313154,0.195936,0.431922,-0.183570,0.948772,0.235986,1.132341,0.527683,0.331624,-0.191161
SideLeft,-0.475541,0.082237,-0.467746,-0.523625,-0.418912,-1.065792,-0.237982,0.104712,0.827810,0.172934,-0.800917,1.993605
