alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,3_1_3,0,Windward,0.531998,0.185918,0.051171,1.285418,0.392400,0.509110,0.653269,0.260869,1.234247,0.349471,0.472191,-0.183239
Alpha1_4,3_1_3,0,SideRight,-0.738882,0.201076,-1.895154,-0.184305,-0.843845,-0.712217,-0.597685,0.246160,1.710849,0.272135,-0.955926,1.590816
Alpha1_4,3_1_3,0,Leeward,-0.572798,0.103690,-1.125244,-0.283674,-0.633648,-0.561901,-0.499001,0.134647,0.841570,0.181024,-0.828319,1.582105
Alpha1_4,3_1_3,0,SideLeft,-0.781908,0.230209,-2.491249,-0.225689,-0.901919,-0.752585,-0.624152,0.277767,2.265560,0.294419,-1.227698,3.727733
Alpha1_4,3_1_3,5,Windward,0.562176,0.193600,0.098293,1.267379,0.420651,0.537488,0.687215,0.266564,1.169085,0.344376,0.509618,-0.063209
Alpha1_4,3_1_3,5,SideRight,-0.756309,0.203882,-1.778512,-0.088811,-0.872675,-0.733195,-0.612807,0.259868,1.689701,0.269574,-0.736496,0.998942
Alpha1_4,3_1_3,5,Leeward,-0.564432,0.099503,-0.962151,-0.279147,-0.627833,-0.554442,-0.493348,0.134485,0.683004,0.176289,-0.475857,0.161865
Alpha1_4,3_1_3,5,SideLeft,-0.736292,0.197265,-1.980566,-0.200663,-0.846553,-0.710040,-0.600525,0.246028,1.779903,0.267916,-0.943754,2.020943
Alpha1_4,3_1_3,10,Windward,0.529985,0.186948,0.053497,1.410277,0.398377,0.504662,0.649732,0.251355,1.356781,0.352742,0.587267,0.356023
Alpha1_4,3_1_3,10,SideRight,-0.800523,0.205386,-1.977591,-0.204045,-0.918543,-0.783294,-0.658570,0.259973,1.773547,0.256564,-0.639194,0.981329
Alpha1_4,3_1_3,10,Leeward,-0.576311,0.101826,-1.024796,-0.292453,-0.637076,-0.564133,-0.501503,0.135573,0.732343,0.176686,-0.704045,0.652481
Alpha1_4,3_1_3,10,SideLeft,-0.726028,0.210012,-1.781684,-0.228529,-0.833533,-0.695071,-0.585489,0.248045,1.553155,0.289261,-1.137221,2.247280
Alpha1_4,3_1_3,15,Windward,0.548761,0.199193,0.043276,1.363613,0.410423,0.532779,0.676047,0.265624,1.320337,0.362987,0.421402,0.074643
Alpha1_4,3_1_3,15,SideRight,-0.836149,0.232377,-2.017561,-0.171411,-0.986146,-0.819924,-0.669923,0.316222,1.846150,0.277914,-0.408262,0.337791
Alpha1_4,3_1_3,15,Leeward,-0.594801,0.102120,-1.052032,-0.297851,-0.664201,-0.595583,-0.518622,0.145580,0.754181,0.171688,-0.206588,-0.129011
Alpha1_4,3_1_3,15,SideLeft,-0.721252,0.203983,-1.730004,-0.274013,-0.832085,-0.687621,-0.576796,0.255289,1.455991,0.282817,-0.986527,1.349976
Alpha1_4,3_1_3,20,Windward,0.524400,0.196807,0.055024,1.200747,0.381232,0.509099,0.656138,0.274907,1.145723,0.375300,0.347688,-0.246613
Alpha1_4,3_1_3,20,SideRight,-0.782532,0.261551,-1.931224,-0.066035,-0.944383,-0.769266,-0.611745,0.332637,1.865189,0.334236,-0.325077,0.329199
Alpha1_4,3_1_3,20,Leeward,-0.579997,0.099159,-1.095202,-0.212212,-0.641074,-0.567556,-0.510992,0.130083,0.882989,0.170965,-0.541780,0.460798
Alpha1_4,3_1_3,20,SideLeft,-0.678796,0.179691,-1.782021,-0.278600,-0.769758,-0.644891,-0.552328,0.217431,1.503421,0.264720,-1.132211,1.970985
Alpha1_4,3_1_3,25,Windward,0.480969,0.186832,-0.001523,1.333048,0.349689,0.459683,0.588285,0.238596,1.334572,0.388449,0.618366,0.382237
Alpha1_4,3_1_3,25,SideRight,-0.627643,0.276245,-1.755505,0.256817,-0.795119,-0.604207,-0.427248,0.367870,2.012322,0.440130,-0.464243,0.249471
Alpha1_4,3_1_3,25,Leeward,-0.570848,0.096584,-0.976034,-0.246896,-0.628699,-0.559751,-0.502504,0.126195,0.729138,0.169194,-0.572085,0.329505
Alpha1_4,3_1_3,25,SideLeft,-0.646496,0.160619,-1.800775,-0.244499,-0.722519,-0.618875,-0.535201,0.187318,1.556276,0.248446,-1.158137,2.346353
Alpha1_4,3_1_3,30,Windward,0.476796,0.177009,-0.148207,1.224769,0.347606,0.458628,0.586507,0.238901,1.372976,0.371247,0.514435,0.325800
Alpha1_4,3_1_3,30,SideRight,-0.458857,0.258290,-1.643853,0.312995,-0.624564,-0.446636,-0.277699,0.346865,1.956848,0.562897,-0.390862,0.386573
Alpha1_4,3_1_3,30,Leeward,-0.578591,0.099052,-0.980435,-0.292612,-0.635129,-0.566930,-0.511015,0.124114,0.687824,0.171195,-0.577923,0.355890
Alpha1_4,3_1_3,30,SideLeft,-0.605456,0.149689,-1.712780,-0.206906,-0.669506,-0.580437,-0.507142,0.162364,1.505874,0.247233,-1.694786,5.949436
Alpha1_4,3_1_3,35,Windward,0.405030,0.153846,0.001184,1.112970,0.295038,0.387391,0.498303,0.203265,1.111786,0.379840,0.552077,0.265683
Alpha1_4,3_1_3,35,SideRight,-0.236437,0.225248,-1.296761,0.488615,-0.375335,-0.223056,-0.089127,0.286208,1.785376,0.952678,-0.296915,0.457878
Alpha1_4,3_1_3,35,Leeward,-0.579659,0.093103,-1.021043,-0.315556,-0.634768,-0.570094,-0.514405,0.120362,0.705487,0.160616,-0.630879,0.760513
Alpha1_4,3_1_3,35,SideLeft,-0.583887,0.131737,-1.263086,-0.254694,-0.650272,-0.563048,-0.492020,0.158252,1.008393,0.225620,-1.102746,1.830036
Alpha1_4,3_1_3,40,Windward,0.385908,0.157790,-0.038525,1.035451,0.272704,0.372246,0.486465,0.213760,1.073976,0.408881,0.414735,0.015168
Alpha1_4,3_1_3,40,SideRight,-0.123934,0.207676,-1.073149,0.499955,-0.256580,-0.117266,0.020015,0.276596,1.573105,1.675699,-0.258527,0.245425
Alpha1_4,3_1_3,40,Leeward,-0.638163,0.100845,-1.066243,-0.340861,-0.699154,-0.631311,-0.569596,0.129558,0.725382,0.158025,-0.476418,0.555466
Alpha1_4,3_1_3,40,SideLeft,-0.581422,0.131985,-1.780331,-0.289845,-0.636290,-0.561475,-0.497883,0.138407,1.490486,0.227003,-1.887960,7.904661
Alpha1_4,3_1_3,45,Windward,0.344115,0.150131,-0.066931,0.974046,0.238282,0.326385,0.431697,0.193416,1.040977,0.436283,0.577999,0.372451
Alpha1_4,3_1_3,45,SideRight,0.050755,0.183830,-0.713766,0.940374,-0.071967,0.048968,0.169606,0.241573,1.654140,3.621930,0.103913,0.537205
Alpha1_4,3_1_3,45,Leeward,-0.634322,0.097582,-1.228064,-0.349670,-0.694221,-0.622775,-0.564897,0.129324,0.878394,0.153837,-0.738287,1.454952
Alpha1_4,3_1_3,45,SideLeft,-0.542524,0.106033,-1.356641,-0.227256,-0.599961,-0.528511,-0.471172,0.128789,1.129384,0.195444,-1.070357,3.179930
Alpha1_4,3_1_3,50,Windward,0.276421,0.145853,-0.076779,0.902033,0.170059,0.263798,0.367620,0.197561,0.978812,0.527646,0.526244,0.216847
Alpha1_4,3_1_3,50,SideRight,0.176169,0.170947,-0.430441,0.964725,0.057767,0.173047,0.287927,0.230160,1.395166,0.970357,0.217142,0.165420
Alpha1_4,3_1_3,50,Leeward,-0.640551,0.100102,-0.992693,-0.325390,-0.705399,-0.635048,-0.571544,0.133855,0.667303,0.156274,-0.243820,-0.050751
Alpha1_4,3_1_3,50,SideLeft,-0.510148,0.096827,-0.956022,-0.215708,-0.565092,-0.498983,-0.443152,0.121941,0.740314,0.189802,-0.769385,1.186482
Alpha1_4,3_1_3,55,Windward,0.189367,0.124087,-0.142583,0.714440,0.101511,0.179534,0.271837,0.170326,0.857023,0.655274,0.363076,0.065986
Alpha1_4,3_1_3,55,SideRight,0.247578,0.159574,-0.463568,0.910577,0.141952,0.234256,0.344716,0.202764,1.374145,0.644541,0.412048,0.659215
Alpha1_4,3_1_3,55,Leeward,-0.642792,0.097945,-1.027010,-0.354911,-0.705640,-0.633284,-0.572499,0.133141,0.672100,0.152375,-0.413392,-0.071642
Alpha1_4,3_1_3,55,SideLeft,-0.486245,0.078356,-0.893085,-0.237457,-0.535500,-0.479345,-0.430803,0.104697,0.655628,0.161145,-0.482146,0.405383
Alpha1_4,3_1_3,60,Windward,0.099960,0.114745,-0.307784,0.608791,0.016396,0.092353,0.174183,0.157787,0.916575,1.147904,0.372386,0.120753
Alpha1_4,3_1_3,60,SideRight,0.322361,0.170104,-0.183570,0.948772,0.195936,0.313154,0.431922,0.235986,1.132341,0.527683,0.331624,-0.191161
Alpha1_4,3_1_3,60,Leeward,-0.666098,0.099511,-1.147287,-0.343822,-0.732125,-0.657876,-0.594128,0.137997,0.803465,0.149395,-0.373257,0.108606
Alpha1_4,3_1_3,60,SideLeft,-0.475541,0.082237,-1.065792,-0.237982,-0.523625,-0.467746,-0.418912,0.104712,0.827810,0.172934,-0.800917,1.993605
Alpha1_4,3_1_3,65,Windward,0.036936,0.100302,-0.296306,0.482209,-0.031304,0.032224,0.101877,0.133181,0.778514,2.715554,0.249780,0.282649
Alpha1_4,3_1_3,65,SideRight,0.408209,0.167172,-0.037321,1.075078,0.285151,0.390528,0.513934,0.228783,1.112399,0.409526,0.520182,0.160882
Alpha1_4,3_1_3,65,Leeward,-0.665264,0.098461,-1.015672,-0.351527,-0.730985,-0.660318,-0.595318,0.135668,0.664144,0.148003,-0.237761,-0.174195
Alpha1_4,3_1_3,65,SideLeft,-0.436122,0.073961,-0.787372,-0.200506,-0.481436,-0.430820,-0.384986,0.096450,0.586866,0.169588,-0.408216,0.309941
Alpha1_4,3_1_3,70,Windward,-0.032389,0.105038,-0.409262,0.429131,-0.099516,-0.037862,0.036338,0.135854,0.838392,3.242979,0.095127,0.152032
Alpha1_4,3_1_3,70,SideRight,0.452878,0.181132,-0.041488,1.214376,0.324845,0.440584,0.560467,0.235623,1.255863,0.399957,0.494983,0.292314
Alpha1_4,3_1_3,70,Leeward,-0.670413,0.124527,-1.344855,-0.307162,-0.742248,-0.658993,-0.583637,0.158610,1.037694,0.185747,-0.634704,0.998090
Alpha1_4,3_1_3,70,SideLeft,-0.395442,0.080295,-0.796231,-0.163339,-0.445280,-0.388373,-0.337859,0.107420,0.632892,0.203051,-0.541812,0.437280
Alpha1_4,3_1_3,75,Windward,-0.117175,0.098045,-0.601479,0.222922,-0.184478,-0.115651,-0.052255,0.132223,0.824401,0.836738,-0.003104,0.271739
Alpha1_4,3_1_3,75,SideRight,0.476822,0.192087,-0.001427,1.418291,0.337672,0.460507,0.595928,0.258256,1.419717,0.402849,0.490450,0.233606
Alpha1_4,3_1_3,75,Leeward,-0.674759,0.129081,-1.218359,-0.285748,-0.751954,-0.664699,-0.585636,0.166318,0.932612,0.191299,-0.457590,0.398640
Alpha1_4,3_1_3,75,SideLeft,-0.360149,0.073911,-0.668625,-0.114559,-0.408468,-0.355399,-0.306912,0.101557,0.554067,0.205224,-0.358101,0.084831
Alpha1_4,3_1_3,80,Windward,-0.214438,0.097919,-0.614200,0.186160,-0.274326,-0.208927,-0.149787,0.124538,0.800360,0.456632,-0.272151,0.623911
Alpha1_4,3_1_3,80,SideRight,0.497854,0.179793,-0.046273,1.200964,0.367250,0.488330,0.619325,0.252075,1.247237,0.361136,0.262094,-0.200042
Alpha1_4,3_1_3,80,Leeward,-0.649213,0.130980,-1.186910,-0.305346,-0.737719,-0.639550,-0.553358,0.184361,0.881564,0.201752,-0.347586,-0.083972
