Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.531998,0.185918,0.509110,0.392400,0.653269,0.051171,1.285418,0.260869,1.234247,0.349471,0.472191,-0.183239
Leeward,-0.572798,0.103690,-0.561901,-0.633648,-0.499001,-1.125244,-0.283674,0.134647,0.841570,0.181024,-0.828319,1.582105
SideRight,-0.738882,0.201076,-0.712217,-0.843845,-0.597685,-1.895154,-0.184305,0.246160,1.710849,0.272135,-0.955926,1.590816
SideLeft,-0.781908,0.230209,-0.752585,-0.901919,-0.624152,-2.491249,-0.225689,0.277767,2.265560,0.294419,-1.227698,3.727733
