key,n_samples,mean_true,mean_gen,var_true,var_gen,skew_true,skew_gen,kurt_true,kurt_gen,psd_power_ratio,psd_log_l2,peak_freq_true_hz,peak_freq_gen_hz
Alpha1_4/1_1_2/a000/windward,4896,0.4804374873638153,0.4833439290523529,0.04584955424070358,0.03925511613488197,0.21930323384945644,0.17516013189943025,2.3965141773223877,2.2530813217163086,0.7305936813354492,0.6198786497116089,3.90625,3.90625
Alpha1_4/1_1_2/a000/leeward,4896,-0.4272311329841614,-0.42637932300567627,0.012477315030992031,0.010413396172225475,-0.679600689688594,-0.5923670552562612,4.011203289031982,3.6253838539123535,0.6899690628051758,0.5819957852363586,3.90625,3.90625
Alpha1_4/1_1_2/a000/sideleft,4896,-0.7691508531570435,-0.7669645547866821,0.05268071964383125,0.04471493139863014,-0.4582090544703164,-0.37003774698972364,2.8317673206329346,2.6885526180267334,0.7588086724281311,0.6145648956298828,3.90625,3.90625
Alpha1_4/1_1_2/a000/sideright,4896,-0.7613368034362793,-0.7593411207199097,0.04576919227838516,0.0381462387740612,-0.6302267047560551,-0.5287968845704175,3.537621021270752,3.349148988723755,0.7407958507537842,0.6608321666717529,3.90625,3.90625
Alpha1_4/1_1_2/a005/windward,4896,0.5016444325447083,0.5046459436416626,0.045973360538482666,0.04001465067267418,0.7187613927264921,0.9221844985334555,3.7479019165039062,4.879518032073975,0.8167875409126282,0.6885956525802612,3.90625,3.90625
Alpha1_4/1_1_2/a005/leeward,4896,-0.4399530291557312,-0.4395219385623932,0.009181121364235878,0.007282055448740721,-0.5424884240227713,-0.533451526041064,3.210538387298584,3.1635849475860596,0.680755078792572,0.6223102807998657,3.90625,3.90625
Alpha1_4/1_1_2/a005/sideleft,4896,-0.7727978229522705,-0.771260678768158,0.042548760771751404,0.034591130912303925,-0.6475727115790472,-0.7197319594071353,3.83927845954895,4.123202800750732,0.7598978877067566,0.7513332962989807,3.90625,3.90625
Alpha1_4/1_1_2/a005/sideright,4896,-0.7641236186027527,-0.7625589370727539,0.04646556079387665,0.03762372210621834,-0.48989977294459924,-0.38442688488978305,3.2339415550231934,2.883010149002075,0.7242648601531982,0.6393153667449951,3.90625,3.90625
Alpha1_4/1_1_2/a010/windward,4896,0.486407607793808,0.48913145065307617,0.050406571477651596,0.044578343629837036,1.0562547676094787,1.1726738089350044,4.377918243408203,4.691517353057861,0.7800996899604797,0.5478736758232117,3.90625,3.90625
Alpha1_4/1_1_2/a010/leeward,4896,-0.46385496854782104,-0.4629887044429779,0.016849016770720482,0.014621471054852009,-1.1880993624093068,-1.1735657245390623,5.6870598793029785,5.398919105529785,0.7270421981811523,0.577430784702301,3.90625,3.90625
