key,n_samples,mean_true,mean_gen,var_true,var_gen,skew_true,skew_gen,kurt_true,kurt_gen,psd_power_ratio,psd_log_l2,peak_freq_true_hz,peak_freq_gen_hz
Alpha1_4/1_1_3/a000/windward,4896,0.5945959687232971,0.594418466091156,0.042936600744724274,0.03912428766489029,0.33888443105474875,0.33778962302331517,2.8619277477264404,2.746051073074341,0.8350638747215271,0.6704464554786682,3.90625,3.90625
Alpha1_4/1_1_3/a000/leeward,4896,-0.5136280059814453,-0.5135952830314636,0.014256801456212997,0.012454516254365444,-0.5560480200986108,-0.5997559960386252,3.5476462841033936,3.592451810836792,0.7628749012947083,0.5754072666168213,3.90625,3.90625
Alpha1_4/1_1_3/a000/sideleft,4896,-0.8779338002204895,-0.8779729604721069,0.054282039403915405,0.04692588001489639,-0.10592009465712282,-0.05624878794635623,2.6655893325805664,2.575162172317505,0.7972596883773804,0.7635968923568726,3.90625,3.90625
Alpha1_4/1_1_3/a000/sideright,4896,-0.8434075117111206,-0.8435835242271423,0.051457956433296204,0.04439907893538475,-1.0687919943134614,-1.1339130823630206,5.4811482429504395,5.794654369354248,0.8115357160568237,0.7429242730140686,3.90625,3.90625
Alpha1_4/1_1_3/a005/windward,4896,0.5501741170883179,0.5499586462974548,0.04183907061815262,0.0381195992231369,0.4616978408918047,0.43189814127255605,2.93865966796875,2.841754913330078,0.8555430173873901,0.6363551020622253,3.90625,3.90625
Alpha1_4/1_1_3/a005/leeward,4896,-0.48693758249282837,-0.48698440194129944,0.015063505619764328,0.013298261910676956,-0.8989162584833337,-0.958146510761466,3.7381978034973145,3.7942862510681152,0.8042963147163391,0.5870299935340881,3.90625,3.90625
Alpha1_4/1_1_3/a005/sideleft,4896,-0.7904986143112183,-0.7906360626220703,0.04256165027618408,0.03602685406804085,-0.7429678318970342,-0.6866190132037175,3.416177272796631,3.188673973083496,0.7681131958961487,0.76659095287323,7.8125,7.8125
Alpha1_4/1_1_3/a005/sideright,4896,-0.8160640597343445,-0.8165640830993652,0.07228753715753555,0.06488367170095444,-0.5835592414657619,-0.51770932547312,3.095780372619629,2.9014525413513184,0.8463966250419617,0.7592228055000305,3.90625,3.90625
Alpha1_4/1_1_3/a010/windward,4896,0.5324761867523193,0.5323877334594727,0.05224914103746414,0.04821734502911568,0.6017215128146015,0.5910299131474989,3.3640329837799072,3.3356659412384033,0.8388832807540894,0.7057321667671204,3.90625,3.90625
Alpha1_4/1_1_3/a010/leeward,4896,-0.5057201385498047,-0.5058324337005615,0.019374167546629906,0.018441520631313324,-1.3735057465367282,-1.6143659009470945,5.447003364562988,7.045190811157227,0.8913266658782959,0.6354323625564575,3.90625,3.90625
