Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.046033,0.117226,-0.049054,-0.123420,0.033713,-0.430378,0.457851,0.157133,0.888228,2.546572,0.062496,-0.049415
Leeward,-0.733183,0.134091,-0.726021,-0.815969,-0.635605,-1.424067,-0.332123,0.180364,1.091944,0.182888,-0.485225,0.388472
SideRight,0.439836,0.206023,0.421456,0.299263,0.559860,-0.120413,1.370645,0.260597,1.491058,0.468408,0.562938,0.559887
SideLeft,-0.457465,0.098707,-0.452267,-0.520509,-0.386243,-0.845782,-0.190011,0.134266,0.655771,0.215769,-0.381662,0.020955
