Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,-0.192695,0.108271,-0.191936,-0.259974,-0.124898,-0.763272,0.276176,0.135077,1.039448,0.561875,-0.149185,0.878549
Leeward,-0.583719,0.137395,-0.568488,-0.671097,-0.481744,-1.107497,-0.184547,0.189353,0.922950,0.235379,-0.540720,0.042013
SideRight,0.476139,0.224362,0.443663,0.309526,0.615213,-0.021761,1.538630,0.305686,1.560391,0.471211,0.745543,0.605135
SideLeft,-0.317385,0.078163,-0.307228,-0.365012,-0.261126,-0.656380,-0.075876,0.103886,0.580504,0.246271,-0.560085,0.197060
