Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.525460,0.165927,0.509227,0.405191,0.633200,0.087941,1.095868,0.228009,1.007927,0.315775,0.388697,-0.171845
Leeward,-0.570691,0.095798,-0.559629,-0.627768,-0.502526,-1.029440,-0.322236,0.125241,0.707204,0.167864,-0.696599,0.743199
SideRight,-0.747667,0.198366,-0.724611,-0.860043,-0.606194,-1.732113,-0.219301,0.253849,1.512812,0.265314,-0.742029,0.753299
SideLeft,-0.684729,0.190514,-0.653131,-0.773405,-0.558369,-2.032103,-0.250122,0.215036,1.781981,0.278233,-1.398418,3.827329
