Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.457440,0.198078,0.438532,0.306782,0.581402,-0.023865,1.281177,0.274620,1.305041,0.433014,0.546117,0.047454
Leeward,-0.558838,0.110231,-0.547170,-0.618057,-0.482694,-1.132055,-0.293754,0.135364,0.838301,0.197251,-0.910252,1.698362
SideRight,-0.140116,0.169196,-0.135714,-0.247053,-0.027962,-0.856634,0.400980,0.219090,1.257614,1.207547,-0.286043,0.569094
SideLeft,-0.645208,0.129600,-0.628496,-0.714607,-0.555696,-1.608236,-0.329125,0.158911,1.279111,0.200865,-1.095333,2.661830
