Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.548408,0.204053,0.527099,0.403539,0.678233,0.033527,1.415950,0.274694,1.382423,0.372082,0.483949,0.093607
Leeward,-0.506456,0.121115,-0.490973,-0.575664,-0.421807,-1.191209,-0.221717,0.153857,0.969492,0.239142,-0.875542,1.519551
SideRight,-0.836980,0.236933,-0.811226,-0.971021,-0.671436,-1.989109,-0.226116,0.299585,1.762993,0.283081,-0.807474,1.280770
SideLeft,-0.857932,0.233357,-0.832810,-1.004545,-0.692237,-2.194812,-0.225370,0.312308,1.969442,0.271999,-0.570069,0.603390
