Facade,Mean,Std Dev,Median,P25,P75,Min,Max,IQR,Range,CV,Skewness,Kurtosis
Windward,0.377028,0.184132,0.361661,0.238692,0.498085,-0.142780,1.083524,0.259393,1.226304,0.488378,0.416199,-0.050027
Leeward,-0.602893,0.109730,-0.593806,-0.662487,-0.526475,-1.269503,-0.306710,0.136013,0.962793,0.182006,-0.773163,1.566130
SideRight,0.131163,0.157417,0.126238,0.027825,0.230249,-0.462868,0.897741,0.202424,1.360610,1.200166,0.208789,0.516985
SideLeft,-0.646973,0.123621,-0.631792,-0.721426,-0.560177,-1.261461,-0.318427,0.161249,0.943034,0.191076,-0.761084,1.183507
