alpha,ratio,angle,facade,mean,std,min,max,p25,p50,p75,iqr,range,cv,skewness,kurtosis
Alpha1_4,1_1_3,0,Windward,0.548408,0.204053,0.033527,1.415950,0.403539,0.527099,0.678233,0.274694,1.382423,0.372082,0.483949,0.093607
Alpha1_4,1_1_3,0,SideRight,-0.836980,0.236933,-1.989109,-0.226116,-0.971021,-0.811226,-0.671436,0.299585,1.762993,0.283081,-0.807474,1.280770
Alpha1_4,1_1_3,0,Leeward,-0.506456,0.121115,-1.191209,-0.221717,-0.575664,-0.490973,-0.421807,0.153857,0.969492,0.239142,-0.875542,1.519551
Alpha1_4,1_1_3,0,SideLeft,-0.857932,0.233357,-2.194812,-0.225370,-1.004545,-0.832810,-0.692237,0.312308,1.969442,0.271999,-0.570069,0.603390
Alpha1_4,1_1_3,5,Windward,0.554582,0.194315,0.032620,1.393830,0.418180,0.527627,0.675261,0.257081,1.361210,0.350382,0.525177,0.128020
Alpha1_4,1_1_3,5,SideRight,-0.824393,0.236162,-1.913484,-0.155307,-0.955238,-0.800473,-0.658444,0.296794,1.758177,0.286468,-0.667885,0.619719
Alpha1_4,1_1_3,5,Leeward,-0.489736,0.116293,-1.055002,-0.169956,-0.561987,-0.471512,-0.405052,0.156934,0.885047,0.237460,-0.652668,0.243712
Alpha1_4,1_1_3,5,SideLeft,-0.804561,0.218029,-1.728653,-0.208934,-0.925567,-0.777415,-0.649778,0.275789,1.519719,0.270991,-0.716618,0.578189
Alpha1_4,1_1_3,10,Windward,0.557671,0.215495,-0.046655,1.479833,0.404839,0.541385,0.686878,0.282039,1.526488,0.386421,0.517624,0.294480
Alpha1_4,1_1_3,10,SideRight,-0.788310,0.259007,-1.892037,-0.157230,-0.940268,-0.765114,-0.602872,0.337396,1.734807,0.328560,-0.633241,0.573635
Alpha1_4,1_1_3,10,Leeward,-0.517773,0.124143,-1.111601,-0.220221,-0.585279,-0.500081,-0.428237,0.157043,0.891380,0.239764,-0.902826,1.203016
Alpha1_4,1_1_3,10,SideLeft,-0.771477,0.207249,-2.238625,-0.308958,-0.880750,-0.739916,-0.626738,0.254012,1.929667,0.268639,-1.197965,3.175191
Alpha1_4,1_1_3,15,Windward,0.554486,0.204201,0.034921,1.514788,0.402294,0.539994,0.690157,0.287864,1.479868,0.368272,0.443814,0.098645
Alpha1_4,1_1_3,15,SideRight,-0.641523,0.250093,-1.923716,-0.024407,-0.795162,-0.615742,-0.463972,0.331190,1.899310,0.389843,-0.635233,0.645475
Alpha1_4,1_1_3,15,Leeward,-0.506536,0.116446,-1.220786,-0.183143,-0.575692,-0.491266,-0.423577,0.152115,1.037643,0.229886,-0.806546,1.369722
Alpha1_4,1_1_3,15,SideLeft,-0.703164,0.174627,-1.795713,-0.193709,-0.797439,-0.676781,-0.583103,0.214337,1.602004,0.248345,-0.916280,1.517563
Alpha1_4,1_1_3,20,Windward,0.537289,0.197587,-0.025788,1.310997,0.396069,0.516015,0.657073,0.261004,1.336785,0.367747,0.530504,0.216551
Alpha1_4,1_1_3,20,SideRight,-0.480235,0.249784,-1.663750,0.242478,-0.621367,-0.447750,-0.309914,0.311454,1.906228,0.520129,-0.716736,0.795153
Alpha1_4,1_1_3,20,Leeward,-0.552165,0.112414,-1.118007,-0.249327,-0.618900,-0.541187,-0.473937,0.144963,0.868679,0.203589,-0.587901,0.694746
Alpha1_4,1_1_3,20,SideLeft,-0.706854,0.161939,-1.428016,-0.295321,-0.797849,-0.682641,-0.593746,0.204103,1.132695,0.229099,-0.805193,0.927553
Alpha1_4,1_1_3,25,Windward,0.507723,0.192340,-0.021465,1.429020,0.371965,0.502459,0.627794,0.255829,1.450485,0.378828,0.343947,0.186366
